"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"AP1M1",195.874178364813,268.722029482298,225.871535149081,253.777969343239,130.801580680286,177.833064652291,75.8902013173091,187.115469054373,229.892274425973,209.274941687675,244.828121699288,311.191657370569,292.849745243037,375.379204999781,317.771532773486,350.800367075208,363.306264585934,361.767597112405
"AP1S1",32.2846699416943,21.9295286056221,33.0199816245536,49.8839566850379,26.6876543249578,13.0133040473746,43.2524354722222,11.8668403487454,39.7657712301249,8.24475188650628,15.1523031060271,34.0780418999752,38.4826135590308,38.3179963217457,32.7021695246687,39.6466632922578,35.4649088012908,30.3587091199341
"AP1S2",56.751944068787,98.1258545179393,70.5159798120943,85.630217800733,60.4155642577255,57.4734144447835,58.6455659658104,31.9165645824818,46.2578034906069,42.043647237191,33.4718630732047,23.5858867553025,28.7728405990143,23.597923927482,16.6052068456139,23.7983008426749,27.1504896864304,17.2451233711645
"AP2A1",833.286798182855,601.376352128088,515.669254266335,385.349787384352,547.751777233491,528.796208468753,460.703925887509,421.201857442359,459.075612414355,456.182154898365,404.496373027626,498.608599437169,523.058447713418,575.940605444698,618.000486929177,600.500499324417,607.539575410911,727.231230632704
"AP2A2",294.124782331064,261.945671398989,174.781657832512,270.509139173799,274.538623971452,275.036580962509,260.293249911723,160.138228973678,164.325517846859,180.237819504895,116.791647118171,96.8519308632385,105.303990029125,152.339808502907,137.705483229534,111.993290856954,160.580051511134,128.538276480434
"AP2B1",1644.24084226924,1710.65613325765,888.790677283602,1152.74495192512,1101.97163636183,992.573461909335,1030.90616462845,934.073654145992,954.827987900644,1093.89489542251,885.988032991367,835.206397066086,859.968766831655,955.102921198786,983.956360131635,940.404762792393,1051.40830326859,988.283467628454
"AP2M1",233.920603550967,216.330984522883,398.450457794027,211.105302912149,250.213972204379,232.838072696039,152.45597358235,294.466074582437,310.992821364153,309.898897267161,216.271962112587,208.60415682871,182.199756878311,266.383221064557,271.225345781113,261.379913121355,307.741682557125,293.55246920735
"AP2S1",21.8120261953201,52.3753392080689,27.5070238956744,10.6113432151815,23.4259821894674,25.4645029683325,3.75182985023985,42.2608982435629,23.1025052513971,55.1765046134463,38.4813763242377,28.020908756196,30.6432067634767,57.9277825273874,41.5071674395672,108.475839919284,56.5977925712634,42.8632930123345
"AP3B1",208.649923192337,262.253453852507,202.447280644464,164.020471892451,197.637422508871,138.426410407135,173.752658579148,200.083241895323,230.565486068473,230.68505110225,192.574956648313,249.366706716992,265.901782273383,273.27557425776,243.930392846009,225.341957505023,256.902143948287,257.438444970378
"AP3D1",223.336531695963,228.723798052426,193.018760165982,144.571542875829,211.963681281781,167.467648863211,296.100817726453,253.832632637885,206.613485926486,286.482416270789,190.374860486323,270.201241593637,231.920976071183,285.197117832388,257.788697854367,222.021308993953,282.604298409343,242.373864023629
"AP3M1",151.46523313107,145.201815952359,97.8536966962066,67.4079615123343,111.092713452757,111.037843839702,127.081992866874,109.287765244868,72.7682900326729,101.608379673463,86.9856722044073,92.0882007980478,88.3854759066837,114.159774803595,114.441799619216,120.396767276206,98.7066692900308,101.116217419348
"AP3M2",15.0278139226419,4.29786151578762,4.45415015299072,10.6196552673663,3.27010209271325,8.14922543276857,4.39523461427279,4.66436255394126,4.67827950954233,8.75838157818777,21.7425600207608,5.15856229171036,8.09972896289424,8.8281016145113,9.55346092597566,12.1234049187562,5.86738514812876,10.2459983745708
"AP3S1",89.1490224741937,80.259714830094,49.9961775350011,65.8864337742023,37.7483290118697,65.9587516360957,56.7322962328126,47.5226454036572,61.2261895564467,55.4928479556599,37.4362029572395,31.322690893392,37.8774027921586,62.8727849250791,48.8517508642385,61.8058038714067,77.4188809672576,46.1561367399191
"AP4B1",4.63274365160449,11.613438841064,5.09738512721576,26.7226341583409,4.63787627888832,4.86896745835759,5.1395136360895,1.77063061836344,1.84806555724914,4.99653269405211,3.12549996282814,5.74155124181496,7.98791909027715,6.61977216659902,4.70826667406922,5.81696369538648,4.89817902019635,0
"AP4E1",7.00260766445209,4.59651702009437,4.77285986076815,4.64400791490832,7.76071440171703,4.52238350918066,6.93544645772113,3.85362115471221,11.9960687225987,5.8324747989337,0,2.7377850865009,4.68895514475718,14.372238937214,2.12401183668232,1.95166537551414,2.51336434613372,3.74745197893846
"AP4M1",5.78660898518563,3.45779816785344,1.88996786789278,3.62692630192173,4.21466033497429,8.58546798126581,3.09766417910997,0,0,0,3.87530654822805,2.77152645345827,2.08846635628895,1.32826564135746,1.4090038833485,5.14905452648987,0,0
"AP4S1",9.51000439824428,6.48158737145753,4.47020633301701,4.61426607056121,4.07133398739352,2.43609613007435,9.72707487155299,11.9662644385863,6.45738634222052,9.13337975276995,7.87789903744024,5.69250961163458,7.80057557920191,7.04551831877157,6.33090651855422,6.05810558705474,4.88147882701891,8.44131513817207
"AP5B1",1.05804724707541,2.22110110258089,1.19801976179221,2.22857359415749,1.05687911979543,1.22338974917771,1.1396486431505,0,0,0.850163669389052,0,0,3.12016169267416,2.7963752728433,2.82374339279625,2.93136886112036,0,0
"AP5M1",1.87729125585523,3.19910403764846,0,0,0,0,0,2.20307100200712,0,0,0,0,0,0,0,0,0,0
"AP5S1",4.64551340896275,7.26359410146007,5.54204992591575,5.18000006188528,4.68493221997421,4.88603644897578,3.30870346475859,11.8668403487454,10.8923993614941,4.56260491181131,0,7.92779369174775,0,3.13774210363675,3.12396396340059,3.30900637630646,5.66142056703355,6.48261029065449
"AP5Z1",6.39644370987795,1.96415591407686,5.28640145886973,5.61573827672982,11.16914601891,13.8519897338916,5.62096127833307,12.1357354865018,8.85109102761174,13.4328179186627,12.2167334088138,7.87348687539165,9.63340172629721,10.3729831089437,10.9372063066732,8.42821768844605,6.79304293982003,5.16515692218624
"APAF1",10.370980202523,29.0271541641748,4.04575059831812,13.9247189627293,3.13705032453863,3.61330861166517,22.9391755149001,5.83681842751837,8.54152244880559,11.0425883237604,3.11710898596926,10.5347319559028,5.70449516008841,19.5318652348843,17.1750011013609,11.2636987664551,7.96566279983058,9.20325206266801
"APBA2",78.736738914851,12.1582797236159,9.69234335115272,8.01551075515686,51.4427564593046,68.2955065290216,9.93411868524418,0,0,0,2.29619256406429,0,0,0,0,0,0,3.55589136943037
"APBA3",2.53543638510555,2.70529185194192,2.75361830287675,8.39937092212293,9.01118774350127,6.66293099226625,2.66128231030299,0,0,2.11812204950012,0,0,0,4.14671244206987,4.55148635762026,4.19261044996258,0,0
"APBB1",59.9028237492723,34.8939162298178,16.2404154139352,77.6102358206194,108.943430878213,100.761766199807,17.8651224525028,18.2195933706884,6.97853085457609,18.493211808225,16.8359202763382,14.7638443607646,18.4506262170636,16.4704830910246,19.9171135114795,25.3118293764335,16.5774533023485,21.294734475292
"APBB1IP",242.91231191096,377.080202871864,520.507104434134,287.409987298566,322.908764381489,319.616296132246,491.417106090676,338.804789106662,412.798886901533,415.21699872071,324.803240271349,305.944225112184,306.723124827876,279.461059870786,231.771677988497,266.562442989848,211.506756243757,202.936109303669
"APCS",79.8007734484009,30.1212599430188,11.4744298123023,55.770981918046,1.87105621951894,2.8774116091219,1.73103971266682,10.7405208422672,186.502668128876,6.34731117754683,2.14409800330253,6.78449142869902,0,0,0,0,0.92336416817708,0
"APEH",226.476639337762,249.992928758646,475.368429516139,192.464266744921,228.18963307472,464.023880890372,305.966813543581,373.626128565809,324.909158179601,384.803093886645,346.581160978466,333.858202925445,344.197708175647,449.23774437671,478.836801197871,428.88803667517,539.276603979604,537.157857061882
"APEX1",3922.27794637533,4246.44198073805,3091.77311340671,3713.44489639039,3700.17872936947,3270.35547272181,3984.8970843648,2019.7597119328,2820.63986061232,2821.4006666582,2204.01053021576,1218.62295424621,1147.28297254522,1099.94640726714,1183.15842817236,1271.10823831938,807.146909898781,961.427039633945
"API5",5.64869077819706,0,0,0,0,0,0,8.62713725128472,7.29386036425346,7.18905842140836,6.11268246304077,4.83434235170762,5.081311554523,2.40525163243663,1.50623951227161,1.37744945160186,0,1.88002435603528
"APIP",105.35408580641,69.0850769017879,118.606771448367,81.7318584531685,140.495066993659,93.5658831092301,71.3200646388991,70.6680618220477,51.9979935495251,55.013636840503,36.9332751927718,36.1680580903158,53.9208677158117,60.2342546401256,35.2748276555164,34.8887182138842,48.4665044761161,72.7886098909759
"APITD1",0,0,0,11.7317638082555,10.5823856116938,4.19300971890648,0,0,0,0,0,0,0,0,0,0,0,0
"APMAP",218.992625924579,417.33680062895,381.761537676608,353.351226452418,317.951058472984,306.129002370644,557.16337913349,393.944204603152,603.093351289898,468.986215157576,351.159463831441,233.88329248897,250.701729150855,161.478388995817,200.830828204602,164.317092390773,187.290034077312,232.332062111992
"APOA1",14134.5699502606,13253.2427223662,12199.1348393865,9070.84859442325,3789.1461829756,4337.34996452709,5723.46507719208,16540.4489002877,18813.0463279723,6573.11064983796,8165.90820311749,6625.05344893334,2009.76744634482,899.182719489275,908.740100723976,984.95730055481,3891.78113142612,1727.08032948477
"APOA1BP",352.840084794585,197.344827515817,368.349854803966,207.468974485088,421.495113343335,412.667519215419,124.128395135268,159.994358215915,115.327019088289,191.609968356918,152.031153760385,135.252984460763,117.500737766234,121.714990347042,144.414450420685,119.239880787456,110.907306717742,139.521352989381
