"","[example-data] act_vs_notact","[example-data] act12h_vs_notact","[example-data] act24h_vs_notact","[example-data] act48h_vs_notact","[example-data] act72h_vs_notact","[example-data] act96h_vs_notact","[GSE157905-lenvatinib-bc] treatment:Combi_vs_CT","[GSE157905-lenvatinib-bc] treatment:Gefitinib_vs_CT","[GSE157905-lenvatinib-bc] treatment:Lenvatinib_vs_CT","[GSE88808-prostate] old_normal_vs_young_normal","[GSE88808-prostate] old_tumor_vs_old_normal","[GSE88808-prostate] old_tumor_vs_young_tumor","[GSE88808-prostate] young_tumor_vs_young_normal"
"NCOA6",-0.661488072603312,-0.381895764124722,-1.01603887744189,-1.12397103888702,-0.581609531224148,-0.483933643376561,NA,NA,NA,NA,NA,NA,NA
"SDHAF3",-0.694777030463548,-0.694777030463548,-0.694777030463548,-0.694777030463548,-0.694777030463548,-0.694777030463548,-0.504927209372728,-0.289351828251783,-0.197959698559118,NA,NA,NA,NA
"FAM96A",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.194243998629653,0.580674197015692,-0.192221991605689,0.578652189991729
"PUM2",0.415470280916835,0.055619597314714,0.0629166154650727,0.399863715669659,0.820371323109734,0.582657006341648,NA,NA,NA,NA,NA,NA,NA
"LINGO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0355106220229497,-0.645698821694203,0.121627097488304,-0.731815297159558
"PPAP2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244333945050709,-0.635156846325262,0.127979518307234,-0.518802419581787
"C17ORF53",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448514526667394,-0.64102986724224,-0.126925025615886,-0.0655903149589605
"SCNN1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0188740655128491,-0.634853019340429,0.123337979691075,-0.777065064544352
"PPP1R12A",-0.654041361843232,-0.213473978472377,-0.463551056836761,-1.05881092688236,-0.868165308499284,-0.680304805861979,NA,NA,NA,NA,NA,NA,NA
"NES",NA,NA,NA,NA,NA,NA,-0.568462736983722,-0.396227429744784,0.132459835035546,-0.0364759114799297,-0.414857942521685,-0.0748893704655176,-0.376444483536098
