 	CD8+ T cells	CD4+ T cells	CD4Tcell-Th1-restimulated12hour	CD4Tcell-Th1-restimulated48hour	CD4Tcell-Th2-restimulated12hour	CD4Tcell-Th2-restimulated48hour	MemoryTcell-RO-unactivated	MemoryTcell-RO-activated	NKcell-control	NKcell-IL2stimulated	NKcell-IL15stimulated	Bcell-naive	Bcell-Memory_IgG_IgA	Bcell-Memory_IgM	PlasmaCell-FromPBMC	PlasmaCell-FromBoneMarrow	Monocyte-Day0	Monocyte-Day1	Monocyte-Day7	DendriticCell-Control	DendriticCell-LPSstimulated	Neutrophil-Resting
PCDHGC5	2.469234794	3.703617544	2.32308179	3.038962873	1.858378925	2.182374488	2.637532967	1.21350282	2.49095514	3.092579568	3.260753346	3.481354304	3.772651081	4.919292405	3.939446006	5.361013835	2.055398136	2.925287387	1.72733963	1.945857369	2.556633778	3.091835213
TNFRSF18	6.421362175	8.912022062	10.96659197	11.16994921	10.4203652	8.470797138	8.799938861	11.35703601	9.131709726	11.69703497	11.43650881	7.270328702	7.412679924	7.861156712	8.150122984	9.228577019	6.185676618	8.901449201	6.022981753	6.396821669	8.796348454	6.748316312
ERGIC1	10.38087958	9.313898836	9.447052222	9.392060491	9.347511381	9.047851894	10.98740448	9.667509574	11.32449139	9.982798826	9.906929919	9.93819252	9.972587478	9.994457038	11.56533616	11.22105281	10.41934471	11.13118957	11.35362672	10.14768765	10.92502276	13.02748698
RCC2	10.77396193	10.79795085	12.70677216	12.57910093	11.99678205	11.62953406	10.55611803	11.36008567	11.15581357	11.4889854	11.36977308	10.66464918	10.65536614	10.72426208	11.66490085	10.14577743	10.90652211	10.9370334	11.06122874	11.12858479	10.90933959	9.447901899
SLC38A1	12.70175355	12.21250459	12.47902487	12.9563482	12.31951482	12.49303157	12.96197529	12.53085042	12.39748606	12.26245424	12.06447159	11.50939824	10.24115673	10.88495062	11.98699369	8.939070802	6.774245673	7.895176372	7.247462359	5.767796024	6.112901651	8.904930807
COTL1	12.04149908	11.42995519	12.01605419	12.83743418	12.0894773	12.78301534	12.51655832	11.75441084	10.36926717	10.65227119	10.52451021	9.91110068	10.97543333	11.13744429	10.8957853	7.217565173	13.13686975	11.29190898	12.02458122	12.55610441	11.21104414	13.46036561
XIST	4.867859408	12.24513988	11.77836445	11.45063976	11.68373958	10.64121755	12.18815878	11.2866288	5.528790082	11.07468204	10.37964244	8.847936972	6.547230021	6.348953834	6.065076796	11.96243596	11.1176556	9.777118986	9.299297898	11.62957884	11.4153829	6.343549953
SLC44A1	9.902823908	10.02218562	7.343736478	9.190802493	6.772818206	7.545731606	10.17107544	9.772961676	10.04611517	9.590040556	9.502038485	9.189838675	9.862097214	9.923859669	13.23500509	11.40903446	10.49595552	11.43686667	11.40700197	10.56710269	12.11484319	9.451065186
KLF6	12.38289241	11.45083218	11.07876993	11.50088735	11.14037883	11.30309367	12.72561166	11.31133433	12.68324889	12.85701778	12.65267333	12.42537354	12.77060903	12.88666369	11.97086731	15.11069247	13.1468248	12.65797278	11.14748023	11.01814186	13.41950068	13.51820754
SLC44A2	10.3446202	9.991248303	8.39161093	9.391651024	9.064922361	9.57689055	10.59746537	8.934097738	10.53090861	9.624919711	9.501385401	9.488793574	8.781645765	8.986473511	8.624517671	7.127274728	8.269758256	5.108663841	8.33690149	6.849665726	4.453583424	11.85351815
ERLEC1	10.38369835	9.659524428	10.81449996	10.99463181	11.08999638	10.83712408	10.55908578	10.52832289	10.73130524	11.13139733	11.02668481	9.667082135	9.152827969	9.664809913	14.00218434	13.10423631	9.878106361	11.45142857	10.98920986	11.06563458	11.24511056	9.684162308
LMAN1	12.41512709	12.49427242	12.92279232	13.31407186	12.97880137	12.66485649	12.3422937	12.95749223	12.25970678	12.66219223	12.48464704	10.44442082	11.15082762	11.36075095	14.29731269	13.50252578	11.0944795	11.31562194	12.13923853	11.74259976	11.14434193	8.600012489
GPATCH4	10.07622537	9.17289333	11.48415274	10.82254693	10.9740008	9.785288436	9.406861883	10.92636593	9.700620911	10.4957709	10.48496383	8.925382769	9.003950023	8.763522787	10.11046547	8.864474036	8.778201183	8.467516228	9.572015028	9.043591944	8.869191796	7.868827492
CCNY	11.51131657	11.00478016	10.44470744	10.31379494	10.51081031	10.12487306	11.52558019	9.971786856	11.28676956	10.80047851	10.63715828	10.07218506	10.00771165	9.987181215	10.07373947	9.925120824	12.1484743	9.810943774	10.60141487	11.53867767	10.66697164	12.22049974
SEPN1	8.461852863	8.76211734	6.635638321	6.902732855	6.83714012	5.49397817	9.100410042	8.309562754	7.267119072	6.951669382	7.189363349	7.025092092	5.904899505	6.687270693	5.36921054	6.836021943	9.257376842	7.727045726	10.75995606	10.26272833	8.878905136	6.630938345
TTYH3	8.137649528	8.441779473	9.675130509	9.995230573	8.935209258	8.754809577	8.066487492	8.651172509	8.674082782	9.251108847	8.584555433	8.665296829	8.58711273	8.717044892	7.284421593	8.575345425	10.51272203	10.02608985	11.23634467	11.22467853	10.84276413	8.943297805
FBXO18	9.416857683	8.591739249	9.00250282	9.418727569	8.827341646	9.121189854	9.530909583	8.194704332	9.009159589	8.56246301	8.575567609	8.780293224	8.413700908	9.253697418	11.85774804	10.75085686	8.886691886	8.401684858	8.523663882	8.13061003	8.466320545	8.824280339
C5orf32	8.100124842	8.557804471	8.849258087	9.375668663	8.127370178	8.059877993	8.398967381	8.795128373	9.041921249	8.404501258	8.769157926	7.319006257	7.877205899	7.723807681	8.903265281	10.00430791	9.47487117	11.58452913	11.92899192	9.92833084	10.97590647	12.13042622
RAB34	4.661136757	7.836414403	8.927945329	8.319914431	7.208754594	5.046272771	5.029997585	6.703806699	7.221654784	7.062199441	6.665532527	4.813084866	4.978378701	4.956974312	7.426709238	7.318879437	9.352404147	8.788998852	9.943702212	9.654175641	8.862624961	4.778050839
MKI67IP	10.94638435	10.41255009	12.15925516	11.75390283	11.93386754	10.85935282	10.85096685	12.24736306	10.6081862	11.42847921	11.40600858	9.41096734	9.509857131	9.349367489	10.83443655	9.187614358	10.4008548	10.02851551	10.33655296	10.36722252	9.705099557	8.62215361
WDR34	7.015281231	7.640114762	9.596657531	10.4453653	8.970738639	9.670083778	6.947151819	10.09848921	7.093348894	8.706254254	8.187954102	8.26746089	8.632203678	8.580994333	8.70890799	8.350248599	5.353402694	6.919791947	6.292108396	5.219007136	6.511212365	6.205713111
C12orf57	13.37897262	13.02712577	11.97403486	12.08121711	11.83414234	11.687048	13.33898651	11.82864692	11.58838004	10.94495505	11.18659537	11.34130929	10.81524919	11.22053205	11.88249174	11.31327193	9.753646596	11.13458659	9.861647199	9.353629114	9.4093188	9.925834792
LOC401397	7.94946052	8.194244681	8.751562469	9.484246909	9.18103793	8.502573269	8.719213108	9.004652133	7.123045353	7.358445495	7.617092738	7.087505273	6.63305334	7.08007934	9.242272216	6.847890454	8.072702511	9.575985884	9.969119065	9.198612425	9.233551774	6.38601766
SULF2	6.586798514	7.265843172	5.081275707	6.496110773	4.692222593	6.483165478	6.172247473	5.861872676	7.347736514	7.671996713	6.952727659	7.522393213	7.696760667	7.127808654	7.757618911	9.602286409	12.04763551	8.488667304	8.367698675	11.73543022	11.82102554	11.39544609
GAS5	14.00859989	14.02313901	12.78322407	13.16494447	12.58548807	12.25900035	14.12744047	13.39171152	12.2537308	11.55783845	11.52675181	12.69752172	13.09972348	12.70729231	12.95539164	12.32803295	11.60049077	10.26099086	10.83823622	11.12241313	11.49929049	10.57848893
KIAA1522	6.952540333	8.159449228	5.632166409	7.370768765	6.704839696	6.612150963	7.02253057	6.856122536	7.13193668	8.885740904	7.156413472	7.381399571	7.382353834	8.212827079	6.935396884	6.816234891	7.067420915	6.713309753	7.351012824	7.799758663	8.320092752	7.667510402
CDCA5	3.61223453	9.299087407	10.2965096	11.48623235	9.710448298	10.62115627	5.346874177	10.94496627	6.469369124	8.560445188	8.165340005	4.760555534	5.81751454	5.206232954	8.293054682	5.015359295	3.501152489	3.792178605	4.169002985	3.691683042	3.786805433	4.514235903
C12orf23	10.19555645	10.38307279	9.848696482	10.62008692	9.745937576	9.876366018	10.36055303	10.28085891	10.05597751	10.10607817	10.00011834	8.330580167	7.87029844	7.857788208	11.53049786	9.793221656	5.797650719	8.092466459	8.583922371	7.017862537	7.447948309	6.905064431
SERINC2	4.929648993	6.013841866	5.172627522	5.088636322	5.880465137	5.189837734	4.889554664	4.529716852	6.117066428	5.209702891	4.82063	5.470550809	5.636994309	6.231206778	5.953397177	6.017615748	6.226967648	6.99431289	8.568760833	8.165726902	8.123321316	5.88014674
MSL1	11.22959108	11.04884308	10.89060553	11.02626476	10.9020879	10.69246294	11.35026168	10.85399149	11.36977372	10.84895072	10.81955935	10.43186663	10.12452782	10.40701596	10.44365189	9.159056438	11.24613376	10.74647758	10.45489352	10.67604742	10.60839514	13.87513047
NAV1	4.58925414	4.356026398	5.124038574	4.178316272	5.752935873	3.60312187	4.247826268	3.273814245	4.562196624	4.011263043	3.508407523	5.215795064	5.116208783	5.284449356	7.933415267	8.79017986	6.703277232	9.382276189	8.317059811	4.969749128	10.26882463	5.005965816
TNKS1BP1	6.302885634	5.903753333	5.661022712	5.115879451	5.917781804	4.926948248	4.816070587	6.094559823	4.401528076	5.957501413	4.423667804	4.989846165	4.807960212	5.733950821	6.393959557	5.083489965	4.913475873	6.635462989	7.79499088	6.604296233	7.218277454	5.364208211
TGFBR1	11.15276096	9.527346675	10.66751697	10.47540514	9.21168473	9.313570113	10.80531315	10.19297701	12.20643055	12.49669352	12.63779471	8.715204052	9.051421046	9.286725239	9.051167241	8.944578838	10.69721766	10.95026688	11.57843921	11.56699388	11.40117223	11.55756096
IGK@ /// IGKC	13.41007632	12.86853064	7.450967894	9.352311262	7.209830237	6.989203358	6.693993321	6.973729888	11.22995407	7.657667156	9.907148304	14.89731497	15.31240023	15.5388592	15.90571281	16.32944476	8.818678567	8.713382505	7.385948658	7.701676114	8.910291444	11.86975561
ASAP1	10.30837231	10.10271236	9.989621566	10.11049244	9.507122018	9.473363466	10.43949674	9.623843091	10.51447515	10.67230264	10.50220345	9.906876426	9.929813554	9.514754485	9.523333903	10.07099569	11.47418572	12.96304521	12.2992392	13.05118707	12.64137435	12.85333658
NDFIP2	7.440294051	10.79618566	12.23302073	12.79534061	12.80691112	12.71246631	8.258452969	12.71603511	8.472416691	11.53194439	11.38429638	6.81250006	6.628383566	7.113403588	9.822043366	9.46875334	6.101776122	7.916619951	8.056103435	8.433415048	8.265865826	7.464857739
GRAMD1A	10.48360167	10.05595391	9.133295081	9.688529495	8.972305892	9.164858333	10.29749409	9.815565289	8.870301523	8.29726388	8.159344943	7.95288266	6.554024709	8.341208569	8.948987204	8.110702536	9.472778488	11.68224046	8.507698193	8.423201369	11.61725141	10.28765329
