 	Basophils	CD4+ Central Memory	CD4+ Effector Memory	CD8+ Central Memory	CD8+ Effector Memory	CD8+ Effector Memory RA	Colony Forming Unit-Granulocyte	Colony Forming Unit-Megakaryocytic	Colony Forming Unit-Monocyte	Common myeloid progenitor	Early B-cell	Eosinophill	Erythroid_CD34- CD71- GlyA+	Erythroid_CD34- CD71+ GlyA-	Erythroid_CD34- CD71+ GlyA+	Erythroid_CD34- CD71lo GlyA+	Erythroid_CD34+ CD71+ GlyA-	Granulocyte (Neutrophil)	Granulocyte (Neutrophilic Metamyelocyte)	Granulocyte/monocyte progenitor	Hematopoietic stem cell_CD133+ CD34dim	Hematopoietic stem cell_CD38- CD34+	Mature B-cell class able to switch	Mature B-cell class switched	Mature B-cells	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-	Megakaryocyte	Megakaryocyte/ erythroid progenitor	Monocyte	Myeloid Dendritic Cell	Naive B-cells	Naive CD4+ T-cell	Naive CD8+ T-cell	NKT	Plasmacytoid Dendritic Cell	Pro B-cell
POLR2I	12.32133211	11.3854135	11.79843858	11.50797058	12.2479436	12.47946799	12.14008309	12.03426174	11.55205008	12.1065209	12.77445181	12.76581603	11.28768482	12.30063215	12.08224602	13.40730846	12.96025604	10.58486741	11.42589247	10.8902375	12.20070701	12.15720935	11.09232685	11.37136525	10.7843012	11.45289676	11.80902528	11.18510814	12.14817293	12.12637294	11.08237036	11.60760981	11.15497019	11.52472979	11.39804743	12.21009018	12.91316335	13.87604567
TBC1D9	14.28003451	8.691952657	8.476185283	8.691991836	8.205038376	11.00173225	16.5136124	10.67649305	16.28511311	10.36601872	10.51953171	15.11624806	11.09141013	11.72813735	8.678329052	8.998468329	8.364604673	15.78609699	15.57292784	15.16593692	8.580305221	8.417675551	17.64512795	16.4790422	16.60707445	8.150870685	12.84902782	8.460011851	10.4235512	8.611585607	16.1734855	14.95059086	17.064677	8.228773557	8.692716299	11.40296332	15.34823866	10.67503566
GNPTAB	15.35359678	16.33052896	16.20914046	16.43458666	17.5882554	17.99449321	17.05632866	16.42221649	15.89186401	16.50104373	15.02679597	16.07822085	15.05562102	16.52784364	13.48971955	14.34799366	17.03822804	17.79001301	16.88392316	16.88043226	17.30467518	17.31913513	16.4564236	16.47675772	16.44813298	17.90542457	16.4116036	19.00696036	15.90267901	16.98045677	16.63247959	16.13719863	16.68088229	16.94892336	16.93757291	16.82534495	15.61069639	14.91931201
APBB2	11.71337851	8.448778747	8.614290218	8.269885102	8.354050486	8.385120299	12.39737247	8.453931138	8.330015952	9.482351649	9.075438959	11.76258743	13.31363898	8.982796497	9.966104709	9.174270318	8.52791793	7.934291558	8.791644052	8.663818737	8.650077956	8.22979396	9.37995383	8.111022091	11.73330674	8.527876692	8.703675927	8.662171628	8.833806899	8.595932622	8.443702682	8.601905492	14.18152953	8.15421253	8.209466003	9.183008608	9.014047003	15.12729894
ANKRD28	10.26355806	11.96914939	12.46378065	11.37790903	11.73501064	11.24554223	11.28277171	14.24043631	9.963063446	13.93005686	11.40774867	11.11771508	10.3532821	11.68242275	9.689609057	10.45981578	12.98577723	9.234546449	9.946345812	11.56062392	15.3097042	15.02644686	11.03070264	11.95445037	10.79123817	10.53259779	9.797899691	11.07597991	12.2851758	14.54322104	9.910555838	9.759178397	11.52810486	11.79907549	11.69129213	10.1359311	10.52658099	10.89428246
CREB3L1	8.81663252	8.219441939	8.226853475	8.15138352	8.422074401	8.162011907	7.656782017	8.574278686	7.989734943	8.737086173	10.74612211	8.436182367	8.424941149	8.267374013	8.837047553	8.340187721	8.077390869	8.043087264	7.874361069	8.778204343	7.953101068	7.916602929	8.033544312	7.777495513	7.523871665	8.601738801	8.524213831	8.370740408	9.258223979	8.528649521	8.011595561	9.09814771	7.704039446	8.149787728	8.049927839	8.62455145	9.4447333	9.339815827
ZFYVE26	12.11150128	11.58002394	11.60991628	11.27936648	12.25143906	11.61119662	10.89586394	11.24438343	11.98674986	12.75280616	11.983819	12.1894848	11.01530609	10.86070307	11.07670575	11.09972089	10.73318333	11.1614418	11.52413223	11.4728665	11.12870573	10.6532411	10.94788161	10.66261036	10.18338291	12.10843289	11.97709728	11.68387243	11.90960283	11.42390806	11.55189391	11.70402413	10.85922097	11.54596441	11.74959765	12.42121746	12.95218326	12.24127873
ADGRG6	9.128300454	8.444928476	8.458643788	8.239385676	7.971287389	8.484671247	9.618538473	13.34071308	9.259370006	10.18963254	8.598701375	9.060195116	10.37024711	9.219655017	9.608307246	10.10853983	12.63853942	9.20558999	8.411565043	10.68482246	16.68179317	16.21083772	8.063052239	8.39278028	8.38727036	8.699044779	7.926954666	7.781636029	8.928987461	13.60626668	8.744974093	12.96460355	7.928181863	8.623496026	9.104393619	8.135658727	8.575630543	9.234058192
TMCC2	13.78683596	9.288255124	9.433886196	9.786825078	9.765912486	9.447610313	15.34948121	14.08293317	14.26433607	13.56025922	13.95887213	10.07237507	19.5709485	15.15580109	20.56665327	19.233027	12.96221634	13.90922323	14.2319571	14.18848005	14.0448914	15.99059081	9.345765243	10.96282342	11.46029316	8.934943741	8.317028343	8.628718695	15.25822616	14.8870035	10.5423896	8.716234722	9.539915757	9.353453481	10.18413414	9.081407037	9.024021808	14.9903809
TSR3	12.97012387	12.61827988	13.09171705	13.19491721	13.06099019	13.43019118	12.7857979	12.26173557	12.81685958	12.18560014	13.58152596	12.22521152	12.26010167	12.53729077	12.26973439	12.35230861	12.00884371	12.37948431	12.7524641	12.3317424	12.18620839	12.65689888	13.28944463	15.40449813	13.80025461	12.53287872	11.88198623	11.87560857	12.75973716	11.86828701	12.11531919	11.70505044	12.28795619	11.30105569	11.87486485	12.69479657	12.62013781	13.83921465
