Gene,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell
PDGFB,23.78580125,19.34862476,23.7937757,21.25407142,14.80261054,22.10112584,21.49769608,21.54749317,18.79803383,15.18291415,22.14019211,32.43057645,31.8521799,39.57795118,18.27973208,29.78351443,23.89904124,21.9189289,24.15883884,132.1503551
PDK4,68.80269998,123.6134415,22.07451304,20.58184344,15.18466476,14.73371552,15.14337441,19.41077844,125.2055514,10.27405397,22.5850627,26.7538026,32.03913265,41.87291518,14.58106362,32.80072283,21.1842502,36.61101496,14.62072152,23.45818026
PGLYRP1,26.52875101,21.39776609,21.15320561,20.27613905,17.98748159,18.57870452,20.66092822,30.70316897,53.20463715,8.959321575,23.01378118,45.07745201,16.97330489,17.56493873,14.74840073,16.8930252,16.89847601,169.4718449,22.09728054,21.54389933
PHEX,18.76270199,15.9330515,23.68828349,17.64635366,14.80531229,22.57833869,15.99427773,16.70863357,19.50160238,22.02460674,9.92504091,16.4550605,13.08565754,13.12320247,21.86549945,17.80845306,22.60471451,30.84258428,31.3345758,116.5278916
PI3,33.5527768,14.96900275,18.8127959,34.37545545,16.04271171,16.40221621,15.01960892,12.86817384,15.99317704,14.58419096,13.12819707,30.77306968,18.59026808,12.49185591,20.63204272,14.66668139,25.14356735,486.9529895,17.40704535,21.85155233
PIK3CG,42.0216535,143.0564556,58.97877543,102.4660155,146.0602813,50.71206659,31.68181283,184.5952155,66.9416155,65.66423761,34.45161099,36.37157682,85.42099389,81.71273906,68.21191522,88.26276714,73.09466473,121.6946636,25.78917122,53.97223125
PLAT,12.76716727,11.08317432,17.8518733,18.63013775,18.94461796,11.14766743,312.2982025,16.17231682,17.53934316,15.80489158,11.08147186,13.37695735,14.3895543,11.15707718,13.03553058,23.92163336,15.91152026,21.21183441,11.26631383,19.29740761
POU2AF1,18.19229778,9.69272773,41.10526208,23.04809206,22.35308831,26.71265193,12.96041945,17.65271669,80.29676955,20.44317757,23.85556406,25.8795455,13.44185424,16.7214804,579.4564008,14.44251622,793.3270891,22.95444767,1310.106229,22.61048894
PPA1,427.7470604,362.7888701,369.0317681,137.4205704,142.9054878,423.1915341,322.1897951,93.88382712,123.4163002,793.8150404,1293.448964,241.3422967,883.8645712,284.5844176,419.289092,890.9252615,277.6064137,69.69378202,802.6122967,88.07950632
PRKCDBP,28.742332,14.32247315,28.40170096,21.20868645,23.98678137,19.85858748,14.1273478,25.91365983,33.74527771,19.71296118,10.96387114,62.96382517,86.78218429,61.96776256,13.25320744,81.66744545,14.32704851,21.07436128,17.86275446,43.09487711
PROM1,12.4050491,11.00532787,17.04839034,20.42375543,13.18317826,13.77568838,16.3859681,50.30324612,39.67224775,16.29332891,482.3235481,20.76327924,8.904686647,12.97496505,12.13655489,14.40471409,10.99974881,25.80653389,12.70867275,22.29824295
PRR5,24.58993605,48.47880774,53.46178404,53.61295555,56.89975476,103.0902471,25.90992153,22.28709304,16.69814432,52.24102049,68.20687458,30.94439013,39.21815577,35.8926021,40.28044582,20.41652552,26.36985905,26.15900106,53.66891558,52.80824792
PSAT1,25.69185751,13.44209951,47.40817501,40.84733565,14.38952964,46.89314084,159.2756845,13.27270986,15.19005951,168.1741603,28.71463061,51.90489237,27.61712448,24.65170473,57.12170462,19.25409634,30.48060763,24.81061926,207.3784957,39.00566045
PTPN13,11.92741301,27.80487824,28.35163486,18.93554451,18.40420915,9.517158609,9.772316003,13.26801011,25.72464229,13.95728358,9.740782049,29.56970397,10.59644796,11.97720998,13.44507121,17.11620666,11.16301959,18.83161524,7.50366005,15.67946297
PTPRK,11.04197364,9.916378979,19.68798458,15.27371825,9.662547653,33.09116584,34.87729913,13.77015221,39.12435725,14.33174847,10.06262312,14.19534452,9.348226197,7.011989311,50.56437725,18.4687391,83.3268931,19.19531589,43.84426488,16.03423348
PTPRS,20.21085827,20.14172728,19.67726039,17.75584348,19.4100669,17.89881682,16.8589686,24.13040619,12.61532795,13.23973115,20.91890834,26.28942443,14.62403384,15.11661763,20.31651839,21.05177115,17.82709281,24.4306265,13.93502441,91.55954099
