"","Bmem.activated","Bmem.resting","Bnav.activated","Bnav.resting","Bplasma.resting","BSph.resting","ESph.resting","mDC.activated","mDC.resting","MOcl.activated","MOcl.resting","MOim.resting","MOnc.resting","mTregs.activated","mTregs.resting","NKbri.activated","NKbri.resting","NKdim.activated","NKdim.resting","NTph.resting","nTregs.activated","nTregs.resting","pDC.activated","pDC.resting","T4cm.activated","T4cm.resting","T4em.activated","T4em.resting","T4emra.activated","T4emra.resting","T4nav.activated","T4nav.resting","T8cm.activated","T8cm.resting","T8em.activated","T8em.resting","T8emra.activated","T8emra.resting","T8nav.activated","T8nav.resting","Th1.resting","Th17.resting","Th2.resting"
"CKS1B",65271.75,0,187970.25,293,4475,0,0,19411,51233.5,0,0,0,9368.5,0,7309.25,103819.333333333,9725.25,90814.3333333333,0,0,231870.666666667,0,8765.5,5599.25,145766.75,0,169921.75,4727.75,150645.5,0,91914.25,2126.25,91000,0,97203.75,2199,26844.25,5291.75,85124.5,567.75,0,0,5118
"UQCR11",6960.75,103390,4837.75,94408.5,0,32550.5,11939,14504.75,162075.25,41091.6666666667,835306.75,2061254.5,1153564.75,0,280087,0,202075.75,0,95003.5,230267,0,117421,2897.75,261332.75,0,92694.25,10840.75,145553.25,2740,47704.25,8210,57331,16747,205726.5,2202,125644.5,0,183710.5,0,131642,28829.25,112790.5,128301
"AK4",87818.75,1357.25,119332.25,19,1565,4871.5,5174.25,51207.75,26270,343482.666666667,106882.75,132939.5,117360.25,0,163,349605,2687.5,40827,9524.5,9423.5,302837,257,1314,2910.25,419491,0,440978,153.25,404231.25,287.75,183353.75,89,265757.75,876.75,192978.5,572.25,56093.75,678,276980.25,308.5,478.25,0,341.5
"HLA-DMB",267307.25,476515.25,423736,355756.5,762.5,2201.25,72,229444.5,1106918.75,61093.3333333333,265165.25,828518.5,423342,947,803.5,22358.6666666667,28069.25,37639,594.25,111318.5,121.333333333333,2607,40852,204859.5,1008,0,214,602.75,1045,2106.25,0,241.75,814,1558.75,9924,928.75,14482.25,3213.25,122.5,889.75,21.75,314.5,100.25
"NUSAP1",47176,101.5,197374.25,16,216,104,180,1457,29.25,2635,1373,496.25,910.75,28.3333333333333,254.75,119425.333333333,0,78413,53,17459.75,153617.666666667,0,2013.75,0,152588.75,12.75,184322.75,367.5,117230.5,0,60474.75,4.75,71005.75,24.25,144064.75,85.5,68335.5,12,50669.25,50.25,76,0,51
"TRAT1",5074.25,0,2393,0,0,40535,928,0,0,0,0,674,0,16074.6666666667,56820,0,0,0,4836.5,0,151971.666666667,94881.5,8767,427.25,115344.5,130075.5,122350,92909.5,80522.75,64327.25,114015.75,106077.75,47083.5,95880.25,49592.25,90603.25,28835.75,25074,29911.5,30108.75,52277.5,99862.75,120429.25
"TMEM167A",2886.75,8621.5,0,2870.5,3688,32304.25,0,0,107960.5,0,109442.5,215185.75,289363.75,0,59262.5,0,62752.25,0,42422.25,159633,0,19987.25,0,209273.5,0,25959,4837.75,31665.25,8265.75,20411.5,0,16234.25,0,23693,0,31072,0,57367.75,0,25075,21618.5,42415.25,37259.25
"PRAM1",348,97,353.25,604,5111.75,377.5,17955.25,108468.75,526900,934621.333333333,1209387,2055528,1356673.75,340.666666666667,136.75,531.666666666667,7769,3449,146.25,1770841,201.666666666667,984,831.5,13235.75,420.25,177.75,253.25,1050.75,266.5,1523.5,627.75,85.25,47.75,193.25,1693.75,35.75,1641.5,507.25,44.25,56.75,339.5,7545.5,15021.5
"LYN",490053,358122.5,833124.75,202970,26788.25,191900.75,204569,580658,501356.5,829929,1265080,2011436,3410918.25,301.333333333333,480,151530.333333333,216464,83893.3333333333,179992,1772497,5498.33333333333,20092,506219.25,921731,1170.5,1225.25,14147.25,938.25,10336.75,29236.75,1288.75,205.75,1489.5,1063.25,2998.25,10365.25,12315.25,48020.5,888,628,793.25,274,676.75
"LST1",0,1551.75,0,1786.75,0,8941.75,169355.75,64077.75,44828.5,44778.3333333333,227740.5,545806.75,913819.75,0,0,14052.6666666667,1847,4421.66666666667,0,1621186.5,0,0,5403.25,17230.25,0,0,1483.5,0,0,0,559,0,491.25,892.25,6955.5,6288.25,5506.25,517.75,853.25,0,451.25,0,0
"FCGR3B",156,67.75,98,58,0,393.25,31885.25,242.25,50.5,2193,0,116373.75,290813.25,283.333333333333,16,13888.6666666667,49013.25,103420.333333333,319510.5,22252561.5,0,23.5,13.25,468.25,691.25,0,30.5,20.25,28.75,18281.75,54,184.25,213.5,143.75,334.75,1502.25,1696.5,22609.25,53.5,0,77.5,8,7
"MTHFD2",354963.5,3116.5,382996,595.25,60353.75,5344.75,1630.75,403183.5,36429.75,96150.3333333333,22294.25,106066,166917.5,8381,8167.25,241076.666666667,6715,482325.333333333,6387.75,102255.25,629048.333333333,442.5,141449.5,15302.5,876913.5,12,1337733.75,1507,840186.25,494.25,494712.5,0,853981,698.75,497449.5,1863.75,238227.75,3539.5,424769.75,129.5,1263,2002.25,51.75
"HLA-DRB3",440957.75,26825.5,489672.5,29940.25,14648.5,0,0,1075195.75,873417.75,189364,203936.5,159085.75,102181.5,4721,17667.75,15056,22826,42582,0,0,1124.66666666667,13967.25,316745.75,296277.75,4560,117.25,9126.75,0,34914.25,3604.25,1216.25,760.25,10940,1736.5,32888.25,739,66467.5,461.75,259.75,0,153.5,239.5,244.25
"MIA",226442.75,64881.75,141269.75,69541.5,1874830,0,0,0,0,0,0,0,0,0,0,10361.3333333333,104747,8331.66666666667,71098.25,2834.75,0,0,0,0,0,0,0,0,0,0,0,19720,0,0,0,0,0,0,0,0,0,0,0
"FTL",1118614,767.25,437455.5,312.5,267,605194.25,2055139.25,3440666,9400.5,30365026.3333333,198009,608646.25,598707,486319,7053.75,81408.6666666667,15451.25,101663.666666667,24620.5,281963.25,437210.666666667,11448,2971032,838.25,208387.25,694.25,252763.5,4723,260196.5,46252.5,16107.75,94.25,37299.25,4990.75,59081.75,17427.75,53098.75,12807.25,35985.25,1407,286.75,1656.75,1157.5
"TRBC2",0,0,0,0,0,249.75,0,0,0,0,0,0,0,6661,70773.25,1264.33333333333,0,1571.33333333333,0,0,74760.6666666667,35654.25,0,0,33060,49183,31616.75,52681.25,34209.25,18605,53871,47980,37157.25,48430.5,36533.75,70571.25,15430,26765,41653.25,55919.25,27884,45447.75,40691
"NDST1",83918,0,51060,643,0,14994.25,1683,0,17998.25,0,19927.75,11330.5,100,0,0,789,479.25,0,25433.5,0,58283.3333333333,2204,15432,0,2085.25,206418.5,71077.25,218099,109972.25,30339.5,0,293401.75,1177.75,36895,0,58892,0,150918.5,326,0,104.25,30271.5,0
"CCDC85B",0,0,10096.75,0,0,162296.75,30992.5,15241,296948.5,0,21083.75,188296.5,0,0,43712.25,562.333333333333,13324.25,0,718.75,0,16534,134044,0,195997.25,0,662.5,2128.75,5113.75,3615.25,1248053,2626.5,19596.25,3347.75,18476.75,16401.5,32117.5,0,31992.75,5175.25,24270.5,30790,221373.5,210852.5
"KNDC1",24615.25,2308.75,237279,11616.75,1151498,84730.5,16121.25,116016,178574.5,260117.333333333,14.75,197864,115430.25,279203.333333333,23431.25,43001.3333333333,0,82.3333333333333,158483.5,0,203,314584.5,205363.75,133261.75,124938,51761.25,33903.25,1694.25,137973.75,0,117788.25,0,67119.5,6754,79,0,254409.75,16202,140336,5002.5,41651.75,3607.5,546
"CLC",359.75,385,777.75,67.75,284.25,24567666.5,28365538.75,451.5,992.25,3038,2566.5,47123.75,21119.25,188.333333333333,979.75,317,502.5,179.666666666667,357.75,2100163.75,491.666666666667,449.5,400,367,893.25,5522.75,1326.5,59667,589.75,356.75,495,608.5,593.75,391.75,434676.75,820.75,396.5,395.75,332.75,224,185.5,411.25,12598.5
"CPVL",28.75,1917.5,88.5,163.25,30.5,190376.75,11542.75,4157.5,968024.75,145025.666666667,735862,2736144.5,1134031.75,0,1105.75,18.6666666666667,19764.25,22.3333333333333,6716,9874.75,457,466.5,0,14854.75,62.5,474,66.25,1571.25,55.75,2495.75,27,548.75,7,983.5,54,869.5,76.25,827,32.5,37.25,1481.5,489.75,609.75
"RPL22L1",539769.5,15120.75,608552.25,6084.75,195585.25,1028.5,0,16931.25,2931.25,0,15846.25,12630.25,0,0,3101,98570.3333333333,16988,140477.666666667,797.5,7108.75,158189,3481,31100.75,39535.5,918436,1758,1244798.25,4971.5,1031295.25,3861.25,253140.25,272.25,466634,3117.75,536704.25,14353.5,274162.75,2673.75,547361.25,494.75,0,2868.25,2552
"TYROBP",0,0,0,0,6837.5,10439.25,187755.25,70512.75,185737.25,380039.333333333,500377,502694.75,616285,0,4256.25,289281.333333333,103019.25,311344.333333333,117435.25,314998,3519.66666666667,1648,17507.5,194439.25,7651.25,0,8686.25,1168,0,29577.75,3207.5,0,18078.75,1878.75,5785.75,3345.75,4544.75,18602.75,11011.5,1468.75,5522.5,0,7815.5
"ORC6",38833.25,11015.5,70673.75,363.5,0,22720,0,2151.25,0,543887,112978.5,146230.5,220835.25,0,0,17744,0,14922.6666666667,36125.25,0,51158.3333333333,0,0,831,37768.5,0,27965,0,33662.25,0,14378,0,15878,1467,26279,3045.75,13941.75,36904.25,15758.25,0,0,0,5025
"PLBD1",472.5,234.5,300.25,96.25,5110,262.25,25091.75,620.75,136445.75,1015544.33333333,1484859,872477.5,399142.5,59,90.25,0,85,531.333333333333,93,1241777.5,129,775.25,396.5,3262.5,25.25,33.25,1025.5,80.25,239.25,284,69.25,84.5,326,292.75,49.25,2528.5,76.25,78.75,29.5,1944,82.25,41,44
"SMIM11",0,1790.25,0,4740,0,7106,1531.75,0,42763.25,0,3305.5,61909.75,35748.25,0,29487.25,0,29765.75,0,22049.25,70233.5,0,6281.5,0,24529.5,0,96898.5,0,45692.25,0,35991,0,115731,0,38659,0,30960.25,0,77214,0,73358.5,8644.5,24149.5,51727.75
"SH2D1A",2221.5,252552,1638,141250.5,529,10353.25,0,0,10801,0,8871,38621.75,4241,276469,572746.25,618925.666666667,1486849.75,1004993.33333333,766211.25,188823.75,767842.333333333,296485.5,2642.25,14103.75,1084476.75,697062.25,1268019,891385.25,521693.75,404113.75,405772,408394,581406,782275.75,923321.5,1515904,806319,1260299.75,290532.25,467072.5,502000.25,423209.5,436150
"HOPX",0,0,15423,0,0,2645.25,7379.25,0,0,0,0,25897.25,6819,8448,2682,82648.6666666667,189945.25,34963,429758,382977.5,0,2312.75,0,0,1948,0,70058.25,7309.25,33268.25,96832.75,0,6284.75,22924.75,8322.5,16159,43198,38773.5,132630,0,1011,21875,0,27519
"CD180",76694.5,295254.75,58758.25,203947.25,419.25,654.75,688.75,79595.5,332705.75,37820.3333333333,618187.5,527271.5,316203.25,383,85,723,1162.75,0,313.75,517.75,24.6666666666667,186,499.75,4031.5,12.25,25.25,12515.5,43,30,701,0,59.75,809.75,110.25,665.75,57.5,152.75,371.5,694.25,19.75,48.5,28,170.75
"SPC24",34319.5,15183,66560.5,0,14933,1332.75,13134.25,0,50548.25,0,7157,510,5072,0,2197,137322.666666667,274.75,68279,1055.75,115845,149190,0,7132.25,3006.25,191935.25,0,192447.75,0,104417.5,628.25,98789.75,0,67761,2945,73341.75,0,27005,2265,100890.5,43.75,0,0,0
"NMES1",0,0,0,0,2424.75,0,0,5572214,1837.75,7273052.66666667,2383,4896,5559.25,275,73.25,232651.333333333,4719.75,1375,0,0,0,0,11036.75,515.5,121.75,63146.5,0,9927.5,3018.25,0,27.25,0,113.5,3203.75,148,8906.25,5815.25,0,1710,0,175.75,0,0
"ATF7IP2",0,0,0,15528.75,0,59952.75,2111,0,22457,0,194291.75,82568.5,0,0,12900,35182.6666666667,14270.5,0,5976.5,25359.75,0,9206.5,0,54191.5,0,3890.5,0,9997,0,38821.5,0,38288,0,28111.75,0,47065,0,28095,0,29650.75,42449.5,17971,27595
"RAB44",65.75,45,21.25,20.75,42.25,694477,601345.5,106,1066.5,58481.6666666667,137285.75,260185.75,75451.75,0,124.5,12.3333333333333,40.25,42.3333333333333,66.25,961821.75,11.6666666666667,14.25,571,77.25,23,37,30,32.25,13.75,15.5,61.5,24.75,65,20.5,36.75,16,34.5,49.5,199.25,18.25,18.25,31,88.25
"RETN",1641.75,0,433,0,559.75,1049,332948,0,1299.75,97351,137213.25,20954.5,7789.25,0,0,0,0,68,0,40665432.25,0,0,451.75,489.5,0,0,0,0,0,0,365.75,0,0,0,0,1.5,0,0,26,0,11.5,2049.25,13175.5
"CKB",72045.25,294.75,334722.25,20.5,6219.25,92.5,6.5,8515310.75,377.5,3638.33333333333,0,350.75,281283,123.333333333333,4,1509,12.25,0,5.25,179.75,88.3333333333333,5,896655.25,203.25,1156,5.25,2125.25,24.75,2941.5,15.5,2098,14.25,7055.25,0,3361,5.25,44.75,33.25,3350.75,20,2.25,5,9
"CD3G",0,7149,8311.25,6855.5,1197.75,6468.75,4761,0,6999,1544.33333333333,0,13322.75,8094.25,41177.6666666667,626472.75,6188.66666666667,4683.75,0,3736.25,14535.25,522193.333333333,414582.75,726.75,4753,420452.75,489257.75,350704.25,441831.5,381358.25,179356.25,351235,738639.5,296831.5,329678.25,201508.75,559916.75,161560.5,480894.75,221297,357842,331239.75,370811.75,534215.25
"MKI67",204115.25,386.5,364560.75,1275.75,91278.25,4235.25,2862.5,2714.5,23762.25,581.333333333333,690.5,2388.75,850.5,267.666666666667,11216.5,280684.666666667,5432.25,276482.666666667,2693,5344.25,499816.333333333,366,59.25,1168,496889.25,512.25,605804.25,1692.75,542608.5,654.25,360367.75,72,408372.5,864.5,439688.5,2517.25,304393.75,194,382931.5,727,1426.75,893,1130.25
"ALDH3B1",37.75,0,92,0,56.25,132160,1018270.75,5442.75,14616.5,85539.6666666667,199385.75,347948.25,745640,0,0,37.3333333333333,8107,36.3333333333333,25,26252,134,72.25,85.25,442.75,173,0,67,105.5,126,116,196.5,66.25,307,1.5,0,20.75,204.5,0,0,100.75,44.25,29.75,77
"EME1",76264.25,14728,74972.25,0,33528,0,273164.5,0,171503.75,60321,0,0,5544.25,13102,144,50759.3333333333,729.5,35025,16272.5,633209,537659.666666667,96541.5,24995.5,1290.75,88423.25,1083.25,189897.25,0,121674.75,46728.75,42618.25,128.75,94768.25,2179.5,107326.5,756,54783.25,70558.5,74396.25,3425.25,176.5,70.5,1763.5
"SMIM1",0,0,0,0,0,143236.75,87421,0,44532.5,0,13844.25,13838.5,30096.5,0,57609,0,0,0,19132.5,0,0,7930.75,0,0,0,76294,0,45336,0,0,0,35523.25,0,9447.25,0,2578.75,0,0,0,19866.25,27528.75,14005.75,8969.25
"RAB32",22151.75,961.5,38639,492,22767.5,2057471.25,194412.25,602942.25,982845.25,970638,1798081.75,1418340.75,1090942.75,3383,602.5,44641.6666666667,52624.75,1157.66666666667,2637.5,2360959,0,804.5,24788.5,24027,1534.5,2595.5,2148,3191.75,6410.75,2531.5,276.25,3406.5,7271.75,213,5691.75,2972.5,0,5001.25,7787.5,897,1775.25,4474.5,4530.5
"NCAPH",97186,266.5,242116.25,1144,16482.25,753.75,704,35955.5,97533.5,3852,19022,4037.25,195.25,304,4536.75,185749.666666667,643,167890,476.75,8038.5,284710,129.25,269,1673.25,254891.25,65,353269,1482.5,207150.25,377,222703.75,76.5,217619,151.75,196183.5,780.25,81957.5,40,157233.5,80.5,283,376.75,449.75
"DHFR",346013.75,3696.25,746150,3104.75,25933.5,1274.5,1283.5,1966.75,35803.75,3029.66666666667,323.5,426,2547.75,670.333333333333,1148,181692.666666667,3437.25,223433.666666667,3926.5,5014.75,556351.333333333,0,3304.5,2054.5,399246.5,231.75,365764.25,999.25,285721.75,667,191740.75,244,246618.75,701.75,270674,529.5,144926,89.5,276433.25,997.25,241,582,0
"FCN1",1896,345.25,175.25,387.5,451.5,43372.5,13242.5,2524,45021,73283.6666666667,2309714.5,3067452,1531561.75,352,350.75,347.666666666667,268,304,246,890944.75,47.3333333333333,183.25,1115,323.25,3.25,116.25,508.5,82.5,784.75,653.75,353.75,145.5,45,296.75,642.25,56.75,322.75,199.5,806.75,145.75,53.5,145.5,11.25
"CCL5",0,6130.25,3989.75,21176.75,0,51464,50164.25,1097559.75,9464.25,7265.33333333333,3368.75,44289.75,17799.75,0,11286.75,98602,35784.25,356301,34655,0,0,941,0,15317.75,0,1516.5,81737,35688.75,127352.25,43851.75,0,0,110036.5,78932,241356,156630.75,433540,169258,9400.25,3884.25,14980.25,2506.5,560.75
"SERPINB2",27.25,231.25,4161,10405.25,600.75,72944,925712.25,30.75,0,9710470.66666667,255210.5,209307.25,38180,0,169.75,63.6666666666667,85.5,30,295.5,400.5,6,45.5,576.5,1088,49.25,288.75,3.75,513.75,26,90.25,77.25,55.75,10.75,565.75,46.75,2731.75,3.5,99.25,33.25,122.75,12.5,111.75,71.5
"BST1",289,173,553.25,55.5,516.75,32008,10655.75,6453.25,5038.75,190996,1971597,507057.5,220303.5,0,11257.75,0,582.75,53,397,4782895.25,110.333333333333,6215.25,6583.25,6326.25,173,384.5,183.5,207.25,315.75,174.25,79,181.25,0,104.5,0,239.25,7840.5,5486.25,41.5,66.75,4228.25,216.75,482.25
"CD6",569.25,679.25,387.75,4491.5,834.75,761.75,1307,273.75,439.75,63,400.75,0,18,17137.6666666667,95029,0,257.5,141.333333333333,24572.75,1683.5,108791.666666667,85659.25,0,173.5,143860,130806.5,123761.5,155596.75,45206.75,60041.5,76091.75,135100,118792.25,83440,57402.5,115420.25,28440.5,61784.75,73068.75,76133.25,184346,169910.75,137750
"PLAUR",293.5,0,0,85.5,107.25,7304.25,47429.5,151943.5,6166.75,1127932,117539,57680.5,77494.5,0,97.75,7525.66666666667,0,8903.33333333333,48.5,2847582.25,0,405.75,976,13039.75,1738.75,53.25,2122,0,3063.5,0,5249.5,0,615.5,79.5,1123.25,1170.25,57,453.5,6013,16.75,0,87.5,0
"CLIC3",29.25,289.5,292,4,203.5,3069,1392.75,139.5,4467.5,986.333333333333,5105.5,23312,649.5,53,335.5,113,242529.25,548.666666666667,1587371.25,2177.25,513.333333333333,56577.5,972644.25,2714355.5,66.75,175,210,11087.25,1829.25,184805.25,191.75,256.75,169.75,33386.75,2055.75,99057,8427.25,207799.25,1396.5,2902.5,4486.25,84.75,614.75
"KPNA2",252895,920.5,457000.75,572,25187,2266.75,102.75,200593,10193,956,2534.25,1991.25,13741,1354.33333333333,3462.75,367807.333333333,3077,591336,3353.5,11046,463873.333333333,694.25,37188.5,5797.5,749948.5,750.25,974051.5,987.5,795571,0,258283.25,544.25,418227.25,3080,531923.25,2177.25,360972.25,2862.5,385295.25,679.75,2121.25,1397.25,786
"GZMM",299.5,488.5,0,110.75,297.75,1571.75,491,21.5,2122.25,0,793.5,52499.75,2099.5,6498.66666666667,1706,27292.3333333333,469723.5,112739,1776046.5,4912,4184.66666666667,1457.5,518,1144.25,10534.75,7627.75,17614.25,86700.25,30261.75,215023.5,20957.25,483.75,70647,528277,148072.75,1360431.5,181440.25,2567106.5,77499.5,28214.5,22490.75,2632,3722.25
"CREG1",440.25,343.75,1214.5,0,0,186966.5,1423687.5,46833.75,19947,237662,839077.25,396386.5,147799.75,0,0,2083.33333333333,6413.75,9702.33333333333,21594.25,477290,348.666666666667,1596.75,0,1447.5,316.75,86.25,0,3883.25,4119.5,2510.5,632.75,15.5,1011.5,3668.25,1242,10713.75,287.75,16182.25,1086,1414.75,50.5,293,531
"GNG8",206440.5,0,381751.75,7762,12191.75,10453.25,0,5779.75,0,12794.3333333333,0,1964.75,8476.25,23486,10821.75,4043.33333333333,0,52164.3333333333,0,13155.75,89972.6666666667,2629,0,0,18171.75,0,4236.75,0,6931.75,0,182890.5,5035.25,26926,0,27303,13836.5,43910,0,557423.25,2654.75,903.75,0,0
"PLAC8",31623.25,0,0,0,0,0,0,34017.75,24886,21177,305449,0,0,0,0,35371.3333333333,21992.5,33548.6666666667,19631.25,0,0,0,0,62954.75,0,0,32078.5,0,30834,0,0,1137.75,24868.75,0,7605,2810.5,11324.5,3441.25,0,2636,45145.5,6895,0
"FCGR3A",0,488,0,0,0,505.25,5240.5,0,0,1335.33333333333,1161,104604.5,503459.5,0,0,35860.3333333333,45117,233000.666666667,409146.75,22175.5,0,0,0,687.75,0,0,0,581.25,0,34301.5,0,0,0,210,0,1162.5,4156.25,33221.5,0,0,0,0,0
"TCRBV12S1A1N2",7425.5,0,19007.75,0,0,0,5941.25,0,34585.75,0,37922.5,0,0,0,5936.25,0,6369.5,0,65676.75,18523.75,0,35240,281856.25,1829.75,132529,5773.75,559161,7180.25,0,7488.25,0,19303.25,36572,0,8972.25,15182.75,0,39932.25,4547,25856.5,9077.25,7141.5,20407
"CA2",28263.25,51871.75,152039,77580.75,294.25,1041590.75,600518.25,594964.25,1034393.75,601936.666666667,409677,1047858,351890,52.3333333333333,456,961.666666666667,6956.75,416.333333333333,314.5,11605.5,191.666666666667,1397.25,11253.5,24141,8284.5,317,51661.25,6019,20210.75,6197.5,4007.25,355.75,12513.5,565.5,22136,33566,582.75,581.25,8923.25,852.25,1377.5,161.75,173.25
"MCEMP1",0,0,2268.5,0,0,0,34499,0,98417,172461,434874.75,188237,12549.25,13579,2117,2353.66666666667,217.5,3977.66666666667,0,915108,7582,0,0,2163.5,0,5368.5,0,3830.5,654.5,319.75,0,3659.25,0,21575.75,4917.5,0,0,0,3188.5,0,0,0,4633.5
"SNPH",0,0,0,0,0,49607.25,0,0,0,0,0,48577.5,23599.25,0,10971.5,5855.66666666667,11498.25,12836.3333333333,0,0,0,27901.25,0,16798.75,0,34617.5,0,20112.25,0,25104.5,10780,35452.25,0,6799.5,0,36728.75,10897.25,39167.5,0,26264,22504.25,19870.75,57695.5
"CDCA5",17578.5,0,48076.75,0,0,0,88023,0,1685.25,0,0,0,0,0,0,39218.3333333333,793.5,35851,0,0,34697.3333333333,0,1144.25,0,39763,0,57493,0,44375,0,32525.25,0,28017,0,35498.25,0,23104.5,0,27343.25,924.75,0,0,0
"CDCA8",29212.25,23582,76656.5,29.75,693.5,0,3447,16524.5,3225.5,17453.6666666667,8227,0,5872.5,3933.33333333333,118.25,92650.6666666667,368.25,116760,252.75,11290.25,77966.6666666667,1629.25,2605.25,0,146950.75,0,95731,0,123797.5,0,94007,1307,103355.75,1374.5,122451.25,0,65143,0,81085,230.75,0,825.75,0
"PHOX2B",25432.25,0,165435.75,0,16627.5,7790.5,47189.5,0,81533.75,40782.6666666667,0,0,26444.5,0,0,8744,22751.5,0,33892,108170.25,0,35130.75,53923,5529,31597,12154,10711.5,21557.75,7289,18856.25,26294.75,0,13607.75,0,0,25933.25,0,53026.5,0,8337,32119,0,21237
"RPL37",115826.75,58435.5,196724,26140,58615,0,129,100364.25,3002,79589.6666666667,0,0,0,3899,0,3050.33333333333,0,1731,670.75,0,42115.6666666667,192,19742,3327.25,167950,0,14168.25,0,8913.5,0,4050.5,0,37828.5,0,4140.75,0,1135.75,0,8751.25,0,10823.25,0,0
"C5AR1",4631.25,0,4782,433,6266.25,181756,20846,0,5290.25,143082,118605.5,268735.25,371851.25,0,7576.5,198,1757,347.333333333333,5101,814317,0,2740.5,2968.25,0,0,5411,4641,18716.25,1044.25,3293,0,15930.75,0,1506.5,0,0,0,21262.5,0,3737.25,0,0,26363.25
"LEPROTL1",0,0,0,0,2755.75,21885.25,75229.75,0,232888.25,10015.6666666667,57725.5,190878.5,306122,0,60427,1538.66666666667,92143.25,4138,155136.25,632293,148765.333333333,39276.75,5391,150799.25,8063.25,131007.5,0,86498.75,40553.75,0,4590.25,71605.5,11556.5,24179,7442.25,128043.5,6263.75,119555.25,9675,28798.75,31839.5,146256.75,236128.5
"KIAA1598",199,97,0,292,121.5,555.75,131.5,196747.25,464868.5,228328.666666667,319107,781304.5,314435.25,424.666666666667,1079,89.3333333333333,610.5,98,43,5947.25,625.666666666667,496,81327.75,309478.25,43.5,1359.5,109,18.5,258.25,456.25,63.5,2773.75,1818,2662.25,2190.75,34.75,1112.25,34.5,129.5,704.5,157.75,1285.75,334
"MEFV",159.75,1290.75,45.25,63,393.5,2788.25,114,35686.5,174781.75,152851,376051.75,836548.75,436949.25,107,64.25,110,231.75,166.333333333333,20.75,249421.75,60.6666666666667,6401.75,68.25,151.5,140.75,265.25,3424.5,206.75,1660,153.5,4,75.5,12991.75,79,0,160.25,80.25,10.5,11,103.25,122,126.5,30.5
"CLIC4",877676,437747.25,1252742.5,294987.25,608211.75,114921.5,27677.75,1262178.5,343548.25,855678.333333333,264497.5,747302.5,233270.25,504.333333333333,493,289818.333333333,1068.5,232091,1027.75,23574.5,1776.33333333333,803.25,204596.25,128865.75,24449.5,673,74298.75,536,41408,1579.25,10129.5,67.75,15110.25,876.25,8422,327.25,4846.75,1039.5,14802,592.5,22951.5,8894.5,5572.5
"IL1RN",2490.25,0,0,39.75,0,734,1484.75,739812.25,54329,898569.666666667,63240.5,114266.25,48164.5,398,209.25,82425.3333333333,859.5,17228.6666666667,127,35096.5,10662.3333333333,64.75,170.25,919.5,5921,0,16401.5,0,4920.25,759,804.5,0,41262.25,180.75,3931,415.25,0,545.75,0,0,0,0,0
"TMEM132A",4983,417384.25,6853.25,279853.25,0,715795.25,494954.75,3901.25,265542,1165630.33333333,1716058.5,3011833,2659614.5,763.333333333333,322646.75,3828,187578.25,11837,364567.25,8096145.75,80933.3333333333,134612.25,5586.75,356736.75,3899.75,161358.75,979.75,209164.5,524.75,260250.5,6679.25,59369.5,3053.5,145837.75,13509.75,206004.5,24512.25,128086,0,61611.5,18376.75,58886.75,88361.25
"UBE2T",23604.75,0,53014.75,257.5,0,13140.25,80832.75,17957.5,24648,0,0,28183.5,0,30343.3333333333,478,44853.3333333333,5538.75,47239.6666666667,6552.25,216328.25,114917,3271.5,42845.75,25712.25,217638.5,0,233015,0,94869.75,6364.5,44359.5,0,61394.5,0,75416.75,4877,56253.25,4584,79953.5,1171.5,9534,0,1412.75
"METTL7A",368352.75,579949,158136.5,359771.25,446669.75,456523.5,622923.5,417822.5,882111.25,134830.333333333,651275,1034799.25,2190401.75,28351.3333333333,131500,29272.6666666667,221091.75,16707,168230.5,247518.75,8322,61920.75,577337.25,972615.75,357.25,0,0,15861,3406.25,12936,595.5,393.5,148.5,37100.25,5984.25,24814.75,21341.25,53651.25,9585.75,24120.75,3258.75,1789,8107.5
"FGD2",106061,254160.75,156316.5,94008,4818.25,763,321.25,232493.25,351001,103873.333333333,73564,595319.25,549733.5,130.666666666667,1052.25,6829,1213.75,5166.66666666667,711.75,11622.25,0,1307.25,188284,319075.75,474.25,475,1313,538.5,476.5,6133.5,160.75,860,153.5,267.25,510.5,372.25,614,3950.5,150.75,697.5,155.25,209.5,585
"RNASE6",14506.5,8767.25,14688.25,1669.75,1042.75,258311.75,0,0,130722.5,24388,199414.5,75857.5,18329,0,0,0,34014.25,0,4828.5,0,0,22518.75,105230.25,610632.5,0,292.75,0,2066.75,0,8426,252,0,0,1888.25,0,1197,1167,2703.75,1458.25,0,4426,646.5,1333
"RRM2",46936.75,2785,175750.5,592.75,3028.25,149.25,700.75,2144.75,136,2518.66666666667,1420.25,2335.75,7756,309.333333333333,904.5,313335.333333333,1266.25,216896,684.5,4582,484958,128.5,1998.5,1548.25,1091516.25,2789,1394880.25,2050.5,562147.5,145.5,256787.25,1879.5,412571.25,1928,359915.25,1704.25,126709.75,821.75,258937,1687,1283.5,1553.75,1354.5
"AURKB",48678.75,3345.75,141238,2001,929.75,358.75,2159.5,15025,241.5,23556,0,23663.75,834,2703.66666666667,3728.5,132042.666666667,54.5,113177,1754,0,141329.666666667,5959.5,805.25,1998.75,197198,0,157263,0,132409.5,32649.75,87846.5,0,112201.75,481.5,114441.25,0,45114.5,9844.25,92943.5,545,5083.5,0,0
