"","Bmem.activated","Bmem.resting","Bnav.activated","Bnav.resting","Bplasma.resting","BSph.resting","ESph.resting","mDC.activated","mDC.resting","MOcl.activated","MOcl.resting","MOim.resting","MOnc.resting","mTregs.activated","mTregs.resting","NKbri.activated","NKbri.resting","NKdim.activated","NKdim.resting","NTph.resting","nTregs.activated","nTregs.resting","pDC.activated","pDC.resting","T4cm.activated","T4cm.resting","T4em.activated","T4em.resting","T4emra.activated","T4emra.resting","T4nav.activated","T4nav.resting","T8cm.activated","T8cm.resting","T8em.activated","T8em.resting","T8emra.activated","T8emra.resting","T8nav.activated","T8nav.resting","Th1.resting","Th17.resting","Th2.resting"
"SMDT1",0,1090.25,0,0,0,668.25,30026.25,0,5267.75,0,0,38376.25,32598.25,0,9778.5,0,3524.25,0,5209,0,0,4319.25,0,14783.5,0,13834.75,0,21479,0,2152.75,0,4356.75,0,13669,0,10120,0,12441.25,0,6416,2356,23236,17489
"ASNS",267914,3004.75,346946.25,768.75,78781.75,91.5,12137.25,40529.25,2541.25,2816,779.5,5513.5,927,689.333333333333,14602.75,53335,3052,159401.333333333,6188,3170.5,442645.666666667,4163.75,2491.75,1413.25,1025201.5,13313,1224454.25,15650,689862.25,1193,305102.5,5975.25,823198.75,6555.25,441627.25,6913.5,155103.75,8036.25,372080.75,7668.75,3765.25,16331.25,12114.75
"SLC27A2",1023.5,198,1540.75,267.5,14746.5,186329.75,3783.25,1239.75,3164.25,1416.66666666667,1280.25,1424.5,1351.75,3397.66666666667,4704.75,316669.333333333,12774.5,316513,116.75,383813.25,2328.66666666667,7431.75,2157.5,786,104457,46.75,216857.75,4384.75,159038,449,28401.75,157.75,114451.25,1818.25,101757.5,11098.25,27718.25,306.75,12650.5,127.75,229.5,814.75,261.75
"KLRB1",0,0,1596,0,0,1472,0,4887.25,0,0,0,0,0,0,7867.75,0,25015.75,32058.3333333333,30261,0,2317.66666666667,48982.25,0,38083,0,9776.25,1269,17144.75,0,3026.5,0,266.75,0,838.75,21706.25,35721.5,691,11109,0,0,4012,15571.75,1947.5
"IFIT2",320,1315.5,239.5,3532,12501,5394,2575.5,533900.75,274,434920,4409.25,77815.5,67162,127.333333333333,1637.75,4.66666666666667,1466.75,15.3333333333333,899.5,42167.5,53.3333333333333,1551,3182397.5,4042.75,273.75,358,0,571.25,4268.75,554,318.5,817,51,793,663.75,687.75,275.75,1704.25,3716.75,244,522.25,1077.5,835.25
"CD9",17519.5,18159.25,10529.75,6988.75,10255.25,526989.75,270143,65453.25,6301.25,69008.3333333333,110249.5,210757.5,109875,0,0,34148.6666666667,3663,1929.33333333333,446.75,15142.25,13796.6666666667,8682,10623.75,9511.5,14216.5,84.5,22082.25,174,1233.5,4023.25,10936.25,0,10416.25,1138.5,5112.25,583.5,0,872,12603.5,4737.25,0,1347.75,0
"P2RY13",15882,0,0,0,0,8118.5,1323.75,17309.75,4652,0,12485.25,37639,34381.25,0,3663.25,0,213.5,0,127.5,346921,5992.66666666667,259,14524,0,3097.25,9757.75,15844,0,9319.75,3055.5,0,9188.5,0,0,0,0,1453.25,3281.5,0,471.5,0,3805.5,8719.5
"IL3RA",81.25,150,0,316.5,0,487004.75,13.25,32594.25,523.75,10828.3333333333,540.5,5870,4458.25,0,68.5,63,717.5,1975,1868,4921.75,167.666666666667,13782,323167,692801,290.5,145,505.25,98,4645.75,240,128,0,2085.5,15,961.5,23.75,159.5,58.5,68.25,34.5,39,40.75,184
"CCDC112",0,0,0,0,0,0,0,0,0,29642.6666666667,154040.5,56417.25,22971.25,0,0,1126,0,0,0,1721025.5,0,0,0,3155.5,0,0,0,0,0,0,424.25,96.5,0,0,0,164.25,0,125.25,0,0,0,1310.5,0
"IGFBP5",16695.25,0,5070.5,0,239878,9772.75,431.25,27754.25,5050.25,46224.6666666667,0,41667,13171.25,0,0,5961.66666666667,100,451,4636.25,0,9401.33333333333,2344.5,8583.5,9942.25,8812.5,0,7937.25,0,3456,6064,0,1825.75,10584.75,2456,6348.25,8695.25,0,0,0,0,0,0,0
"EMR3",0,13.25,0,39.5,0,125053.25,382560.75,0,1365.25,1110,3002.5,17535.5,23650,94.6666666666667,0,0,0,0,0,843772,0,32.25,0,0,0,21.5,0,25.75,0,0,0,0,51.5,61.75,105.5,27.75,61.75,22,35.5,32.75,0,0,38.75
"FCAR",3348.5,116,0,403.5,0,0,5265.75,6910,745,161240.333333333,122273.5,17012,3249.75,1404.33333333333,0,0,1141,0,816,1676631.5,3101.66666666667,53129,1577.5,850.5,0,50899.75,0,4313,0,368.75,107.75,708,0,736.75,48.75,703.25,191.75,233.25,0,1970,337,1246,1043.75
"SLC27A3",337.5,565.25,236.5,95.75,328.25,51528.5,35707.5,62602.25,228202.5,107625.666666667,316115.25,408030,749765.75,2049,2665.75,16596,10895.5,9669.66666666667,10873.5,3882.75,526.666666666667,470.5,5425.5,39252,478.75,517.25,658.25,949,542.5,913,71.25,285.75,652.5,881.75,193,8100.25,481,10176.25,334.5,343.75,469,331.25,383.75
"ORM1",2663.75,420.25,0,56.75,652.5,119602.75,373742.5,229887.75,231114.75,986641,20010.5,160941.25,73865.25,328024.333333333,30725,6879.66666666667,7707.25,1369.66666666667,2611,7198264,42821.3333333333,96301.5,615486.75,53784.25,35404.75,16107.5,80609.25,8729.75,34722.75,1146377,45878.25,4272.75,9573.5,8585,9377.25,7071.25,7098.25,168905.25,5979.75,6747.25,24640.25,29237.5,44714.75
"ITGB3",150.25,10384,106.5,10208.75,50.5,70673,153.5,245.25,8136.5,6278,598782.75,854122.25,639940.75,69,61.75,479.333333333333,42.25,222.333333333333,388,105,2594,1594,91.5,3566.25,662,19.25,995.5,92,1031.5,4462.75,129.25,90.25,1675.75,235.5,694.75,231.5,172.25,228.75,277,80.25,37.25,102.5,367.5
"LGALS2",2945,0,0,0,0,1159.75,4556.25,83100.5,339662,33206.6666666667,56282.75,206621.5,1734.5,0,0,11525.3333333333,1178,0,1972.25,0,0,0,1002.5,5747.25,3278.5,0,501.25,0,0,2122.25,1519.25,0,2429.25,4019,1459.5,2212.75,0,442,0,692,0,3539,0
"IL32",0,0,0,0,0,0,5764.5,0,0,8601,0,73333.5,15545,1308,797.25,8963,310.75,0,0,106232.5,12736,0,0,0,33183,187.25,69874.5,495,29351.25,393,1874,0,0,0,11390.25,1434.75,1252.5,0,4766,0,0,0,564.5
"GNB3",43386,6152.75,16355,9033.75,0,0,97446.75,15395.75,0,40278.3333333333,45045.25,96622.75,39215.5,21413.6666666667,19379.5,29100.6666666667,56157.75,18695.3333333333,0,2637297.25,0,28252,71408.25,0,0,41929.5,25695.75,18852,64147,40687.5,21736.75,24981,38000.75,11221,14559.5,28739.25,23778.75,17272.25,34201.5,26453.25,20140.25,31359,34384.25
"CYBRD1",1258,0,1601.5,253.5,0,1548.25,12148,16989.75,22016.25,27313,126832.25,114134.25,31554.75,0,1970.25,2465.33333333333,7297,1127,14454,1359784.25,0,863.25,0,0,0,5266.75,0,723.75,0,1494.25,0,449.25,300.5,4634.25,0,8574,1240.25,4934,234.25,4713.25,1299.25,391.5,3407
"SCG5",0,0,5265.5,0,0,0,13133.25,21707,67250.25,11004,76962,0,0,12589.3333333333,1582.25,0,3239.75,2339,8368,2168.5,1530,18917.75,2516.5,0,0,7100,0,4209.75,0,8891.25,0,21520.25,0,8736.5,0,7394.75,2289.5,21903.25,0,4586,12218.75,6515,48547.75
"HVCN1",253110,455160,425851.5,638575,11255.75,1097961.5,1758107,165975.75,320701.75,374265,626485.5,1217411.25,1626759.5,0,26826.25,95135,639061.25,64999,49733.75,4790039,13256.3333333333,95106.75,338110.25,786314.5,3317.25,19137,0,12805.75,12185.5,25420.5,18213.25,23262.75,11372,10539,21216,36225.5,21084.25,23803.5,92063,15709.5,11015.5,7821.75,20950.5
"BATF3",5787.5,0,4100.75,0,0,0,0,25768,2454.5,0,2480.75,2169.5,4696.75,0,0,8875.66666666667,1168,23916.3333333333,0,0,8819,0,0,0,6473.75,0,38140,0,33007.5,0,10022.25,0,10512.5,0,25049.75,0,23419.5,0,6322.5,0,0,0,0
"EBI3",50293.75,188.5,46877.25,0,0,0,0,473062,0,5198,0,1678.25,0,0,0,0,0,4626.33333333333,626.25,0,0,0,16113.25,0,1163.25,0,12151,0,13437,0,255.25,0,6648,0,9985.5,0,3574.25,0,3166,0,0,0,0
