"","Bmem_A","Bmem_S","Bnav_A","Bnav_S","Bplasma_S","BSph_S","ESph_S","mDC_A","mDC_S","MOcl_A","MOcl_S","MOim_S","MOnc_S","mTregs_A","mTregs_S","NKbri_A","NKbri_S","NKdim_A","NKdim_S","NTph_S","nTregs_A","nTregs_S","pDC_A","pDC_S","T4cm_A","T4cm_S","T4em_A","T4em_S","T4emra_A","T4emra_S","T4nav_A","T4nav_S","T8cm_A","T8cm_S","T8em_A","T8em_S","T8emra_A","T8emra_S","T8nav_A","T8nav_S","Th1_S","Th17_S","Th2_S"
"ZBTB33",712,70.25,2034.5,352.5,0,76.5,1657.5,3407,4957.75,28422.3333333333,182.25,3198.25,4536.5,0,1380,0,1555,359.333333333333,1196.25,1682.5,234.333333333333,1123.5,2641.5,19149.75,1599.25,2996.5,630.25,2999,514.25,0,2515.75,2695,1572.75,2269,1814.5,2607.5,212,1591.5,1083.25,2866.25,1710.25,2821,2161.25
"ZBTB38",1055,559,1935.75,597,2435.25,492.5,763.25,495.75,2384.75,505,1161,2334.75,2291.75,0,1654,74.6666666666667,1469.75,466.333333333333,1136.25,16637,0,1554,0,0,899.5,741.25,1137.25,1625.75,1168.5,1089.75,1477.75,360.75,923.25,1818.25,2072.5,3359.25,2525,7585,763.25,1346.75,1317.75,759.5,193.75
"ZBTB4",450,1863.25,740.75,2411.75,5589.25,908.75,1976.75,5076,822.5,0,491,4765.75,4323.25,2025.66666666667,3445.25,1691,2962.75,1470,4708,3593.5,2977.33333333333,3757.5,685.25,1956.25,2646.25,4919.5,3771,3381.75,0,1370.75,1687,5278.25,3433,6674.5,2805,5100,1541,5013.75,2711.5,4053.75,3382.25,3237,2847
"ZBTB43",791.5,0,0,0,0,856.75,603.25,3360.25,5764.75,917.666666666667,310.5,3263.5,3209.5,0,343.75,2140.33333333333,2021.5,995.666666666667,898.75,0,0,98.5,1338.25,1205,360.25,0,645.25,432.75,1462.25,0,688.75,0,474.25,380.25,1072.5,394.75,538.75,2226.75,1382,292,405.5,235.25,1648
"ZBTB7A",11669.25,4918.75,16417.75,4104,602,12473.5,5406.75,10975,17314.5,10306,16002.25,34355.75,59780.5,683.666666666667,13368,20079.3333333333,15421,16690,10014.75,7570.5,11399,13523.75,6247.75,15030.75,15035.25,8549.25,16358,9755.25,12236.75,11445,7619.5,9021.5,8683,14754.25,14246,18255.25,15507.25,15129.75,14553.25,6618.75,4489.75,8527,9345
"ZBTB7B",4111.75,3991.25,8817.5,1315,49239,5996.75,10590.5,20954,135517.5,21401.3333333333,72904,107131.75,45425.75,0,9672,7175,2494.25,4860.33333333333,3013.5,14879.75,60252.3333333333,14349,1340,1851,29516.75,17534.75,29558,20470.5,30836.75,16278.5,21151.25,24251.5,8913.5,2953,2827.5,1780.5,3071,522.25,676,159.25,25402,16380.5,18523.75
"ZBTB8OS",92896.25,12673.75,156521.75,2892.5,5447,8986.25,4544.25,20779.5,29906.75,47681.3333333333,0,110196.25,72669.25,5938.33333333333,15925.25,39545,14777.5,19544.6666666667,10146.75,201667.75,35411.6666666667,6809.75,18350.5,37791.25,42059.25,13567.75,51758.75,18687.25,37401.75,10640.5,36214.75,8526.25,36462,9926.75,21549.75,20288.5,11077.5,26057.5,27375.75,14342.5,13536.5,20072.25,18307.25
"ZC2HC1A",7952,4690.5,24821.75,3992.5,0,94304.25,1375.5,2356.5,2235.75,19152.6666666667,2711,16212.25,7811,26774.6666666667,37382.5,1676.33333333333,1141.75,781.333333333333,536.25,8211.5,15420.3333333333,848.25,0,0,23393.75,8255,11649.5,9974,3922.75,616.25,1960,1209.75,7412.75,1392.25,867.75,1890.25,0,349.25,0,3000.75,1103.25,15284.25,6930.75
"ZC3H11A",77164.5,62570.75,93418.75,54328.25,44911.5,50834,28674.5,56445.75,85125.5,66212.3333333333,51465.5,86428.5,93321.75,23365.6666666667,65670.25,86386.3333333333,79219.25,108568.333333333,56267.75,83625.75,112157.666666667,64484.5,43332.25,83361.25,94621,78452,127066.75,68186.25,110824.75,40869.5,69918.25,92795.75,97618.75,70175,89803.25,80426.75,69910.75,69957.75,83827.25,91176.5,55798.5,64536.25,65508.25
"ZC3H12A",1814.5,5194,5498.75,1741.75,0,3288.75,1370.25,16408.75,4782.75,12044.6666666667,2051.5,1482.5,1337,0,9078,5150.33333333333,1707.25,3363.66666666667,2853.75,0,8616,9121.25,4918,9768.5,3238.75,11308,3512.5,9532.25,7876,1060,6983,6830.75,4664,8858.25,4261,9057.25,3627.5,8682.75,6143,8412.5,6614.5,10200,13853.5
"ZC3H12D",194618.75,45812.75,241349.75,15873.25,2369.75,1383.25,11364.75,4123.5,11093,2371.66666666667,11744.25,6351.5,10670.5,53581.6666666667,112431.25,4051,1874.75,3069.33333333333,2639.75,61947.75,102420.666666667,41236,9521,7617.5,86488.5,56153.75,133034.5,35072.25,56481.25,3319.75,15326,20299,54995,15286.5,24570.5,7571,21186.75,3391,22332,7797.75,27825.75,64754.75,41428
"ZC3H13",14678.75,15661,24887.25,14116.5,2887.25,15145.5,5261.5,13954.75,36195,6983,10226.5,50320,23605.25,1613.33333333333,17061.25,7849,18785.5,11648,11433.75,14837.5,21479.3333333333,14009,6968,35753.5,17215.75,14173.75,28226.25,11448.25,27940,9879.25,14052.25,19271.25,18067,17803.75,19845.5,15761.75,15403.5,13104.75,11495.75,12265,12506.25,15885.25,18064
"ZC3H14",117145,76797,195175.75,51384,23658,45673.75,31863,73566.75,111674.75,33558,64175.5,137035.25,143763,25350.6666666667,79345.25,73806.3333333333,78013.75,72117,50062.75,63541.75,138977.333333333,48411.75,39731.25,96458.75,101597,65129.5,151570.5,56297.25,113493.75,41808,88168.5,59919,106839.25,53278.5,100280.25,67773.25,61598,63122.5,78133.25,50181.25,49487.75,61488,78294
