"","Bmem_A","Bmem_S","Bnav_A","Bnav_S","Bplasma_S","BSph_S","ESph_S","mDC_A","mDC_S","MOcl_A","MOcl_S","MOim_S","MOnc_S","mTregs_A","mTregs_S","NKbri_A","NKbri_S","NKdim_A","NKdim_S","NTph_S","nTregs_A","nTregs_S","pDC_A","pDC_S","T4cm_A","T4cm_S","T4em_A","T4em_S","T4emra_A","T4emra_S","T4nav_A","T4nav_S","T8cm_A","T8cm_S","T8em_A","T8em_S","T8emra_A","T8emra_S","T8nav_A","T8nav_S","Th1_S","Th17_S","Th2_S"
"PEBP1",3383923.25,2264845,3931222.25,1149440.75,2510739.75,1216240.25,992839,3676884.75,3556754.25,2685901,1741725.25,3492591.75,1489013.75,1216060.33333333,1926403.75,842112,1291427.25,857189.333333333,790900.5,1452498.25,3887567.66666667,2670052,2983493.25,2869307.75,3168778.5,2883760.5,4032830.75,2110985.75,3050383.75,2153309.5,1613327.25,2384014.5,2369870.5,2220989.75,1542680.5,2178969.5,757710.5,1608975.25,1822804.75,3403405.25,2268577.5,1944815,3045543
"PECAM1",2223.75,27882.25,2499,32318.75,867.75,97464.75,74957.5,26400.25,90668.75,113513.666666667,640910,1061893.75,1777571.25,602.666666666667,1345.75,190727.333333333,42028,52521.3333333333,19877,304504.25,2113.66666666667,8184.25,86425.25,162369.25,1544.5,542.25,3284,407.75,1118,4409.5,5715,15922.5,15225.25,19515.25,26270,15463.75,42287.75,39167.5,78333,80532,512.75,925.5,1253.5
"PECR",9160,43769.5,24116.75,42970,1715.25,2250.25,25507.5,1880.25,3358,9518,16010.25,14315.25,18098.5,12068.3333333333,112179.5,12844.3333333333,52127.25,13628.6666666667,40944.75,88101.5,29594.3333333333,91205,3611.25,5011,35733.5,87770.5,22302,109185.5,17910.25,42700.75,20081.25,47693.75,32361.25,97191,19628.25,75864.5,21030.75,95786.75,22012.75,77061.5,36971.25,99586.75,103311
"PEF1",169204,106375.5,187748.5,64174,14293,66478.75,51241.5,79483.5,103704.75,105932.333333333,88883.25,224764.5,127203.5,29556.3333333333,82327.5,33695.6666666667,101243,31501.3333333333,79654.5,207928,66915.3333333333,101832.25,112867.5,144637.5,93419.75,99519.5,117062,104024.75,122581.5,51501.5,44654.5,94861.75,77453.25,89990.25,51088.5,95769.5,37086,97711.75,66128.75,126175,44211.75,91239.25,122911
"PELI3",0,0,0,0,0,0,0,0,2284.25,0,0,4090,1872.75,0,202.5,0,1092.75,1023.66666666667,0,8373.25,0,1228.5,0,0,0,1489,998,2017,940.25,0,212.75,91.75,1061.5,1670.25,0,1832.75,0,278.75,0,0,132,1234,238.75
"PELO",67791.5,18953,92332.25,8612,44327.25,32209.75,8866.25,28263,37622.25,31751.6666666667,40781,40101.75,26190.5,14941.6666666667,11598.5,68512.3333333333,22713,79235.3333333333,6097.75,72697.5,100310.666666667,9423.5,23242.5,21074,160778.25,26210.75,210566.75,23051.5,129481.5,10379.75,63790.5,16828,108722.75,11005.75,91121.25,17017,40751.75,10117.25,97456.5,15443.75,13718.5,21780.25,33941.75
"PELP1",189056,116969.5,275284.25,97010.75,18256,70660.5,14100,149572.5,135057,77403.6666666667,107765.5,168432.5,167082.75,22470,110068.25,72836.3333333333,113074.75,92346.3333333333,60779.5,76598,159857.666666667,88323.75,76205.25,139756.5,174672.5,87677.75,249476,84397,170830.5,47080,114901.75,99504.5,166666.75,90035,162739,81204.25,123671.25,75839.75,138942,120303.5,71346.25,94637.75,110497.5
"PEO1",0,4789.75,0,616.75,0,0,0,0,7717,0,4043.5,8156.5,3137.75,448.333333333333,0,0,311.25,0,1962.25,0,0,660,0,0,0,511.25,0,724.5,0,3960.5,406.5,583.25,297.25,1456.25,318,380.5,388.25,3131.75,0,1138,395.25,277,206
"PEPD",292146,136773.5,320063,65803.25,57934.5,811134.75,37068.5,344468.25,315409,478792.333333333,603629.75,999747.5,576119.75,71995,152129.75,132489.333333333,252014.5,59839,287747.75,67055.25,169592.666666667,118206,163719.5,246983.75,207274.5,202008.5,265934.5,257006.75,174471.25,199039.75,149440,92529.5,144092.75,197316.25,115562.5,287734.25,57104.25,315966.75,108478,149847.25,162403,213698.75,272504
"PES1",169134.5,48000,237299.5,37444.5,21224,6387.5,3085.25,93034.5,74368,25356.6666666667,32096,92218.25,83985.5,9759.33333333333,52943,84091.3333333333,66347.75,108911.666666667,23162,6663,225540,49623,68650,74563.75,276626.5,61685.75,377102.75,55461,262397.5,25592.5,152501.75,60557,219919.25,54513,210770.25,56996.25,125940,40054.5,164977,84443.25,50847.25,57148.75,46081.75
"PET112",15982.25,9030,46245.75,7648.25,1922.5,3986.75,15690.5,8490.75,13107.25,21795.6666666667,11462.25,19458.25,7046.25,0,1793.25,4534.33333333333,2537.25,6424.33333333333,4451.25,119052,19934.6666666667,2501.75,6278,9421,14115.5,3145.5,24944,2707.75,19977.75,1797.25,11178,3415,8138,4605.75,12758.25,4817.75,7218,1763.75,7270,5185,1887.75,2036.25,2281.75
"PET117",0,2177.5,3295.5,0,0,0,0,0,15955,3257.33333333333,0,0,0,0,3756.25,2981.33333333333,4323,3189,923.5,0,6760,1355.25,5347,1514.75,0,4423.75,10549.75,10298,3252.5,0,8169.25,2596.25,9011.5,3187.25,7656.5,0,4304.25,2228,8327,4476.75,495.75,3523.75,3450
"PEX1",2921,1205.75,3818.75,1064.25,293.5,4138,4940.25,2688,4380.75,10906.3333333333,3730.25,4389.75,7074.25,114.333333333333,2022.25,5277,3036.75,3353.33333333333,1457.75,21064.25,3870,1436.25,1256.75,3268.25,5961.25,2233.75,6340.25,3136,3953.75,1502.25,4468.25,1507.75,5759.25,2421.5,7727.75,1822,3283.75,1378,5904.75,2149.5,1550,2359.5,1510.25
"PEX10",2145.25,0,5264,0,0,7007.25,571,12732.75,0,9589.33333333333,3766.25,0,5779.25,0,903.75,0,0,4566.66666666667,455,7326,5838,1381.75,18243.5,9183.75,5723.75,0,1566.25,864.25,3966.25,1208.25,1139.5,1159.5,5213,774.25,2523,2337,4268.25,1637.25,884.5,1862.5,1337.25,2350.25,0
"PEX11B",181310.5,50005,174949,39928,4265.25,179514.75,53446,151051,156258,206241,174484.25,290850.5,329310.25,42124.3333333333,141464,154759.333333333,100331.75,155038.666666667,90271.75,247092,115901.333333333,55473,190220.75,228020.5,105760.25,137832.5,136559,136887,102041.75,44268.75,104967,121221.25,139264.25,128270.25,149609.75,131128,111650,127196.25,113590.25,101304,113403,138785.25,117469.5
"PEX12",4020,186.75,1277.5,177.5,0,616.25,0,0,509.5,3304,697.25,0,820.5,0,0,0,286,0,0,0,0,0,3427.75,1811.5,1865.75,566.5,0,264.75,0,0,0,0,0,0,0,288.5,0,315,0,421.75,0,248.25,51
"PEX13",4774.5,16217.75,6890.75,3374.75,3585,14845.75,21008.5,4893.5,5631.5,3274.33333333333,1917.75,1359,3575.25,0,883,1231.33333333333,2065.5,9713.33333333333,178.5,12653.75,1029.66666666667,205.5,2011.25,3250.75,11132,507.5,10830,0,10914.25,208.25,4248.5,0,10169,563,3516.5,920.25,2747,576,2242.25,1067,0,0,0
"PEX14",36814.75,22694,44541.25,19491.25,33038.25,32262.75,15521.25,47652.25,51054,37390,70237.25,64726.5,63237.25,0,17910.75,38129.3333333333,14257.75,31044.3333333333,12841.75,47356,63114.3333333333,11785,17557.25,50016,69965.25,22541,54432.75,18525.5,41380.75,7995.5,40201.25,13935,54663.5,23265.75,37117,16897.75,23234,16961,17805.75,17045,17456,23753,19649
"PEX16",25749.75,25691,34297.25,10367,8405.75,25278,16458.25,28448,32225,25605,18654,35661.5,27321.25,13425.3333333333,19443.25,15911,11402.5,23216.6666666667,8104.25,40022,26906.3333333333,15513.5,16281.75,29087.25,34467.5,15173.75,29923.25,12762.75,37454.5,13296.25,17203,11700.5,33390.25,13920.75,25375.75,14551.75,16968.75,14421.25,22820.75,9797.5,9544.25,15365,14195.5
"PEX19",105984.75,54373.5,153106.5,35350.75,13836.75,48673.75,26830.25,122556.25,89674,74090,84771.75,127211.75,53087,31712,34624.75,76735.6666666667,24987,70463.6666666667,27832.25,65087,174881,15542.75,58398.5,47416.75,147671.25,40231,222284.75,29554,141113,24083.75,99306,33817,98129.25,22975.75,80825.25,37728,52514.5,34796,86632.75,28300.75,21621.5,37199.25,68507.5
"PEX3",35315.5,21825,59408.75,8925,28742,18714.75,9809.5,32031.25,54031.25,7404,25430.5,34080.25,93968.5,7781.33333333333,53013.5,20828.3333333333,32561.25,31293.6666666667,21711.5,33171,33613.6666666667,24233.5,25873.75,54932.25,53879.75,53994,53420,47386.5,56137.25,38837.25,41109.25,42143,63056.75,48391.25,31171.75,43175.5,19211.25,41536,45206.25,45838,19095.75,45770.75,35561.25
"PEX5",5504.5,1647.25,10380.5,261.5,0,3000.75,712.75,3357.25,4454.75,4043.33333333333,10087.5,3341.25,3728,1180,650,4229.33333333333,1292.25,1153,1499.75,2019.25,3508.66666666667,3945,6459,5727.75,5813.5,1309.5,3868.5,1040.5,1679.75,1942.75,3613,931,3588.25,2567.75,3496.75,1583.25,2066,1782.5,1803.75,2057.25,2279.5,879.25,951.25
"PEX6",3245.25,1099.25,5867,79.75,486.75,741.75,30028,804.75,2510,1327,1379.5,7327.25,9304,0,2238.25,3031,1824.25,2908,1806.5,88830,3968.66666666667,1901.25,333,2467.5,4792.75,2909.5,9253.75,1818.5,3900,504.5,4203.75,1066.75,3469.75,1547.5,5669.75,1467,2907.25,559.25,4973.75,1819.75,946.5,1658.25,827.25
"PF4",1142,95622.75,7531.5,23894.5,3490.75,2212895.25,2494652.25,6459866,7484663,1377087.33333333,1230181.25,8498278,7016969.5,2272091.33333333,2282580,14551,75244.5,11706.3333333333,12985,7440,690468.666666667,4553930.75,4381239.25,1999552.75,557515.25,524892.5,997524.25,983442.5,725755.75,9454015,823872.25,271761.25,245687.75,1183658.5,366626.25,1267127.5,447212.25,1959346,167250,886975.25,1216861.25,1782601,1641628.5
"PF4V1",1081959.5,0,1963959.5,0,29800.25,24546.25,15140.25,2781040.75,16493,2491779.66666667,5862.75,47508.75,137979.5,0,36771.5,168876.333333333,0,0,311.25,26329.25,903857,48659.25,403782,24362.5,230954.75,38672.25,768471.75,43359.75,331191,44538.75,115839,148512,79692,133349.5,60967.25,40065.75,0,8380,0,0,4391.5,234740,71620.25
"PFAS",503533.25,98006.5,654744,54909.25,107941.5,68387.25,50890.5,246098,259692,218230.666666667,182333.75,314783.25,134996.5,43551.3333333333,57527.75,127440.666666667,97199.25,139770.333333333,35570.75,90107.5,352396.666666667,49227.5,135694,162041,430711.5,50889.5,601473.5,57563.25,403301.75,46249.25,282638,47945,347701,49465,291670,51438.25,146728.75,45922.75,253273.25,78024.5,39444.75,50453.25,57239.25
"PFDN1",556037.5,269181.25,947116.25,145383.25,371186.5,278289,179847.75,440645.25,499482.5,424727.333333333,452473.5,878964.75,333316.75,147674,314383,347971,282900,383234.666666667,180684,745672.25,784719.333333333,249149.75,340201,511142.5,680784,274098.75,899294.5,206614.25,707295.25,218461.25,645616.75,203937.75,793322.5,177420.75,398643,245351,304704.25,280006,449519.25,163777.25,186796.5,200062.75,417148.25
"PFDN2",674257.75,430622.75,1046552.75,174920.75,348842.75,262802.25,236553,670638.25,653201.5,482305.666666667,490659.75,902718.75,724100.5,236853.666666667,330695.75,452052.333333333,263795.25,555673,191871.25,1138685.25,1153664.33333333,248139.5,409787.5,609074.25,1048346.5,357601.5,1122222.75,353917.5,996870.5,232811.5,833592,213003,927110.75,289565.25,674057.5,323692.25,429495.75,336372.5,808028,342074.5,214488.5,289759,439238.5
"PFDN4",113676.25,82612.75,159940,41646.75,62508,66303.75,30763.75,104147.75,150259.75,129366,137039.5,224319.5,200295.75,43213.3333333333,80893,119129.666666667,73940.25,152556,38319.5,229189.75,182407.666666667,58674,98765.5,98928,238081,84383.25,359696.25,84422.75,266985.5,60571.5,155042.25,55751,177684.75,58772,138317.75,75765.5,155538.75,73690,182687.75,64947.5,46132.75,77934.75,136539
"PFDN5",771927,265417,1111686.5,147669.5,219436.25,172167,150981.75,674163.5,557141.25,429120.666666667,607835.25,766618,421994.25,93160.6666666667,227815.5,483370.333333333,238200.5,513991,169708.5,166059.75,698408,219655.75,363950.25,557671.25,883942.75,280142.75,988361.25,275001.5,764127.25,216674,564478.25,151687.5,647665.5,250964.75,486454.5,242095.75,279192.25,215679.5,502832,243743,170784.5,260159.75,481556.25
"PFDN6",854733.5,350399.5,1197028,167884,293390,184429.25,183086.5,731487,537852.25,494790.666666667,509272,1303227.5,491342.75,217789.666666667,291763.75,634357.333333333,302308.5,653344.333333333,217908.25,632341.5,1095869,209488.25,419420.25,662908.5,952603.75,520554.25,1602237.25,433841,1121063,186440.25,1277907.25,259993.75,1005889.75,315637.25,709407,359543.5,517962.75,291372,810895,415750.25,282485.5,387490.25,564674.25
"PFKFB2",27548,14962.5,18990.5,3089.25,959,1950.5,43500.5,43808.25,16031.25,89241,13455.25,38926.75,45175.75,14212.3333333333,5581.25,11505.3333333333,6344,6306.66666666667,4457,222033,19926.3333333333,11464.25,633834.5,1181609.75,20630.5,6321.5,25005.75,6379.75,20508.25,2483.25,3689.75,2683,7653,3370.75,7136.25,3070.25,3875.75,5076.25,7797,4571,2781,6753.75,3248.75
"PFKFB3",27742.25,3527,22380,1428,1882,3658.75,1769.5,186369.25,8849.75,551668.666666667,4818,6826.5,4326.5,23.6666666666667,6898.75,35910,3129,9885,2752.25,24960,20231.3333333333,3807.25,41577.75,1966.75,22649.5,6573.75,15502,7121.75,22854.75,638.75,7389.75,3369.75,6386.25,3352,8475.25,2728.25,2262,1738,13545,3599.5,3300,7006.75,2932.5
"PFKFB4",8321.75,0,1431,990.75,2138,4622,6026.75,1845.75,2926.25,12691.3333333333,8369.25,19700.25,9533,0,0,6093.33333333333,2792.5,480,0,99498.5,13703,1455.5,3636,2251.75,13836.5,696.75,12980.5,1051.75,9138.75,2505,11025,0,10758.5,993.25,6005.75,0,1680,3589,9930.75,996.75,1668,2980.25,1121.75
"PFKL",958515.5,461797.75,1037865.25,340114.5,116475.75,408590.25,331675.5,838887.5,943074.5,766289,710648.5,1372032,1072516.25,248298.333333333,541310,377628.666666667,285300,214331,217482.5,1179903.5,855151.333333333,500324.5,692310.75,812881.5,756290.25,486427.25,810091,479649.25,489546.5,290153.25,411404.5,386589.75,461903,401129.75,372211.75,325865,183295,277123,406381.5,376953.5,466609.75,575626.5,485505
"PFKM",187724.5,38590,166218.5,15330.75,43242,11333.75,27528.75,36266.75,43072.75,11094.3333333333,17091.5,32945.25,28443.25,3675.66666666667,25243.25,51715.3333333333,9105.25,40010.6666666667,2614.25,24212.25,121108,13372.75,10699.75,22592.5,181643.75,35706,273688,21315.75,172262.25,10427,94139.75,25900.25,123849.5,15694.75,54655.5,12853.5,18857,14934.5,91592.5,24090,21584.75,36085,28166.75
"PFKP",595393,172453.25,791980.25,111669.5,117264,421555.5,108489.5,422485.5,414175.25,308804.666666667,268107.75,407230,187726.25,201171.333333333,414077,951446.333333333,251369.75,712604.666666667,169985.25,113020,1194848.33333333,257734,573992,516578,1568091.5,472085.5,1581685.75,552473,1267547.5,275832.5,878082.5,171809,1070508.5,285583,718507.25,292573,302179.5,319635,763751.5,236153.75,253323,422480.25,323398.5
"PFN1",38678861.5,26302876,51107920.75,15560808.25,16364606.5,27674657,36939101.5,41670279.75,36993637.5,61118034,51456309.5,72939078.5,43582715,24693392.6666667,19595139.5,25580863.3333333,20868244.25,25170643.6666667,28132686.5,105259766.75,32992377.6666667,17223380.25,24754951,23810731.25,33835281.5,20066345,41676526,22630120.75,33338127.75,24025603.5,25087616.25,13411525.75,31593092.5,18414093.5,23204637.5,24237648,15962238.5,30151940.25,24044268,20193754.5,16975510.5,18906721.5,25498512.5
"PFN2",13061.25,14971.5,10397,11775.75,8511.75,15819,17698,12712.25,4905.5,21006,0,7999.75,4998.25,0,10027.5,0,18192.75,4805,7793.25,111649.25,22798.6666666667,26253.25,0,14050.75,30503.25,57541.75,54690.5,33517.75,35650.75,16284.5,9395.75,70412,47215,39673.5,9206.5,23484.75,0,20166.5,14243.25,69088.75,37124.25,20529.25,111493.5
"PGAM1",7771005.25,2735267.75,8868119,1440393.25,2221683,3317724.5,8057930.75,5920773.25,5618842.75,9715470.33333333,8992761.5,14627452.5,7899573,1990464.33333333,2823959.5,4758193,2047212.5,3275471.66666667,2349296.5,15169508,10279111,2295258,3689834.75,3667095.25,12025400,3334065.25,15211295.75,3587108.75,9927309,2710020.25,6904072.75,1677742.5,11487413,2730865.5,6949534.5,3219530.5,2877617.25,3126338,8015402.25,2029100,2091665.75,3061125.75,3649600
"PGAM5",291140.5,128043.25,444079.5,79691.75,183376.5,67440,41829.25,117105.25,252696.75,81043,138013,274705.5,144424,9741.33333333333,87160.5,149025.333333333,138738.25,205384.666666667,72668.5,25678.5,422158.666666667,78940.5,158500.25,382029.5,377406.25,68078,547911.25,80440.75,464514.25,73957.25,240633,46328.25,324389,90307.25,309256,69262.75,175897,76754,274144,62165.5,72096.25,64746.75,73985.75
"PGD",2373277.5,501718.5,3084464.75,207045,459170.5,6657735,10754008.25,4958977.75,2237318,8422600.66666667,5751256,8385808,4136651.5,223835.666666667,349408.25,1058759,474381.25,1781017.33333333,362321.5,24733615,1701616.33333333,483440.75,2612419.5,3225339.25,1493670.25,545850.5,2134765.75,520458.75,1768598.25,424720.5,889978,490425,1148749.5,444136.25,1034816.25,441913.25,497959.75,464651.25,1034615.5,595997,312705,399375.75,413829.5
"PGGT1B",129430.25,81505.5,156921.5,43417.5,607894.75,73173.5,98750.5,152558,189678,109692,159272.75,241656,140165.75,12700.6666666667,44345.75,41068,62716.5,32346,42887,310636.25,75380.6666666667,49551,153557.5,161421.5,97888.5,42473.5,97679.5,56730.25,57548,52922,42938.5,29454,70574.5,44038.25,34345.75,50338.5,23463.25,74600.25,34110.25,39272.25,53392.5,31042.5,36320.5
"PGK1",12701204.5,6405691,15043359.75,3180566.75,3151971.75,6542737.75,8910205.5,10886942.5,10288615.75,17442152.6666667,13687619.25,22140839.75,15590529,3485331.66666667,4311711,10042599,4361859.25,5291929,3140647,10958110.25,16834123.6666667,4855888.75,7306978.25,8063479.5,16588844,7418181.25,20703109.5,7108557.25,14924284.25,5867002.75,12199925.75,4954797.25,13564191.5,5754690.25,9255191.75,5120621.5,4282472,4123455.25,11918096.5,7379823.5,4570938.75,5568819,5955414
"PGLS",1070881.5,657455.75,1313147.75,291686.75,129827,804976,921397.5,2061193,2280299.75,1952210.33333333,2196052.5,4679528.75,2565716.25,252336.333333333,356084.25,598593.333333333,821857.25,483221.333333333,697996,1177231,865998.666666667,442956,1325205.25,1678204,895102.75,606629.75,995259.75,570380.5,668206,502194,564368.5,418631,599693.25,425743,461286,690673.75,268746.75,764082.75,481462,540391.75,420849.75,489952.5,745158.25
"PGLYRP1",0,215.25,0,0,0,61.5,620631.25,90.25,0,0,0,580.5,546,0,11.75,0,0,0,16.75,5860749.75,0,2,0,125,0,138.5,0,294.75,0,0,429.5,283.5,52.5,9.25,0,0,0,96.75,0,104,0,44,324.75
"PGLYRP2",1851.25,335.75,155,1033,4485.75,326287,174379.5,120483,315045.5,114642.666666667,9170.5,604155,286563.5,397360.666666667,144199.5,4890.33333333333,54383.5,5139.33333333333,27244.75,27479.25,52886,408557,141746.25,105400.75,55572.25,11305,80568,35960.5,54857.75,636533.75,1708.75,19738.75,329.25,72839.25,518,40306.25,2061.25,108796.25,149.75,41209.25,34752.75,109582.5,131379
"PGM1",503037.75,261382.5,646340.25,140611.5,137766.25,969524.5,1133166,537787.75,751744.5,1095335,1008276.5,1484589.5,709370.75,109763.666666667,198226,651113.666666667,563113.5,271874.333333333,448229.75,2347129.75,454743,228124.5,386964.25,563297,509317.5,317663.25,577502,364115,389219,320947.5,327092.5,255241.5,432220.25,308427.25,357557.75,443682.5,160337.75,449093.25,399864.75,368030.25,198345.25,258693.25,276895.5
"PGM2",551888.5,560916.5,648804.5,406283.5,99221.25,816506,576076.5,595955,787153.25,925311.333333333,762892,1827758,1073828,243675,461261.25,389064.666666667,1034669,204631.333333333,636322.5,2152436,606411,493979.5,354424,481842.25,422127.25,660632,552256,589956.5,437601.25,506140,248417.75,535097.75,316261.5,463875,252182,590207.25,155488.5,678608.75,320561.75,712733.75,372144.75,495291.5,630431.25
"PGM2L1",32461.5,14922.25,45092.75,7600.5,6130,39068.5,3767.75,2834.75,11233.5,3886.33333333333,4652.25,13576,6065.5,35818.6666666667,99880,3541,16302.5,1523.66666666667,6330.75,3274,159459.333333333,62795.25,23509.25,41759,49796.75,65388.5,38293,56654.25,32332.25,27906.75,40111.5,32710.5,13899,31401.25,6543,29815.5,2787.25,30405.75,14122,24382.25,50549,57565,60184
"PGM3",27283.5,3047.5,24908.5,1238.75,32532.75,49574.75,9845.25,51675.75,21887.75,38819.3333333333,46739.75,67609.25,41939.25,0,4777.25,13598.3333333333,4635,9471.66666666667,2974,33575,20223.3333333333,4769.5,41631.75,69707.75,33715.5,4557.75,49367,5165.25,25139.5,1519.25,17657,3155.25,35049.25,4596.25,19926.5,4819.75,2561.75,2760.75,15862.5,3853.75,3257.5,4635.75,7134.25
"PGP",130301.25,39812.5,177532.25,17395.5,20942.75,118804.5,123928,127202,141596,158348,168699,336324.5,174040.5,28002.6666666667,57923,140136,67897,90133,44616,99231.75,129383.333333333,39900.5,58243.25,102772.5,151171,56792.25,197628.75,71103.75,135694.25,54957,107815.5,41915.5,135584,48845.5,114872.25,73333.25,45096,82904.75,103774.25,56090.5,47511,47232.75,52012.75
"PGPEP1",10094.5,1099.25,8924,827.75,0,13780.75,5708.5,0,6133.25,5173.33333333333,24549.75,24462.75,11761,0,4104.75,7360.33333333333,8748,5159.66666666667,5519.75,7493618,14503.3333333333,4622,0,5095.75,7755.75,3354.25,10969.25,8154.5,6540.75,6707.75,7861.75,4432.25,14866.5,3216,3648,10722.5,1886.75,10546.5,5813.5,5294.75,2469.75,4335.75,14781.5
"PGRMC1",161181.25,72014,197882.5,70283.75,92458.25,154210,153752,274412.75,405131.25,365363.333333333,459236.5,657951.5,541775.25,72702.3333333333,150574.5,215241.333333333,127043.25,294852,91938.25,1414131.25,412445.333333333,92331.5,227182.25,384162,350904.75,135851.5,459774.75,133133.25,486084.75,72271.75,284001.25,113980.75,440078.75,131978.25,339186.5,116353.25,252412.75,84390.25,271666.25,74276,123856.5,131933.5,141997.25
"PGRMC2",228439.25,202071.25,244432.75,196251.5,200885.75,151115,138664.25,139591.5,224368,237913.333333333,481100.5,709968.75,676373.5,49820.6666666667,242308,283293,296029.5,261170.333333333,157781.75,547115.25,233396.666666667,182537,252760.25,454215.25,307120.25,377426.5,353654.25,302658.75,262410.75,133502.75,230682.5,315538.5,445786,250401.25,318178.25,285188.25,219763.75,288138.75,260569,262899.5,253900,280910.75,221590.5
"PGS1",3968.5,2138.25,2893.25,2134.25,172.5,0,762,26795,8075,32097,4945,7206,9041,0,2656,0,4220.75,4248.66666666667,2461.75,5931.25,5258,2877.5,36954.75,5591,7590,5359.25,5719,5477.75,4196.25,2467.25,4760.5,4937.75,5693.25,5998.25,4493.25,4574,1391,3363.75,3778,5922.5,3780.75,3304.25,3012
"PHACTR2",2517,2096.5,1008.75,479.75,0,13363.5,6375.25,10340.75,41013,12263,19974.25,28585.25,7657.75,4999,38351.25,12001.3333333333,33394.75,3448.66666666667,7945.5,58713.75,30259,9424.75,939.75,2057.75,18426.5,60786.75,27658.25,57306.25,17559.75,18404.5,4880.25,4816.5,6880,29486.25,11045.25,76470.5,6115,19945.75,3900,236.75,34765,39590.25,47380
"PHACTR4",6286.5,2401.25,9360,699.75,0,2136.75,2652.25,6755.5,9070.25,5489.33333333333,5012,6855.5,5786.75,338.666666666667,2224.5,2826.66666666667,3535,3239.66666666667,2366,6842.75,5977,2499.75,6245.5,6571.5,7174.75,3682.75,5466.5,4042.25,4548,1692.5,3752.25,2018.75,4521.5,3813.75,4537.75,4287.25,2594,3039,3232.25,2949.5,1961.75,2237.75,2899
"PHAX",98573.5,32121,164897.5,25046.25,28340,18786.75,9325.25,42929.25,62046.5,15759.3333333333,36098,62042.5,36361.75,3704.33333333333,38560.75,34480,38924,43125,33564.5,221795.25,89524.6666666667,35304,26561,50308.25,76007,32518,136213.5,39127.75,96029.25,31120.5,54637.5,38397.75,67792.25,38834.25,64383.5,46661.75,37152.25,37271.25,62640.25,30473.75,28255.25,35631.5,49166.5
"PHB",3151970.25,3121118.5,3466360.25,2084685.25,799210.25,1008901.25,513042,2595425,3008325.75,2371786.33333333,4157057.5,5106526.5,5478944.25,816474,2456717.75,1917435.33333333,2983494.25,3169614,2232310.25,3799788.25,2861235,2273247.25,2212393.25,4236866.5,4102613.25,2571774.5,5726169,2861940.5,4451861.75,1854896.5,2823341.25,1627219.75,4283439,3074447.5,3020315,3111604,2851614,3442131,3068890.5,2698434.25,1817693,2239789.75,3118640.75
"PHB2",2409381,1810798.25,2998392,1218992.75,659135.25,701376,530323.5,1873944.25,2457868.75,2026156.66666667,3000269,4053670.25,3521413.5,731457.333333333,1824916.25,2142360.33333333,2535313.75,2770857,1826135.25,2700275.25,2919178,1485250.75,1968244.5,3340235.5,3957232.5,2094609.75,4736447.75,2278888.5,4031394.75,1322519.75,2899509.25,1718160.25,3817413.75,2445151.25,3458474.5,2474238.25,2305237,2306495,3170062.75,2263015,1369070,2120458,1622376.25
"PHC2",10475,20220.25,9913.5,3575.25,1242.5,8169,4678.5,10984.75,17235.25,18007.6666666667,8566,28065.5,25642,3620.33333333333,6949.5,5052.66666666667,22686.5,4711,17378.5,85942.5,3915,9915,8617.5,3792.5,13191,12591,8322.5,11711.75,10945.5,14482.5,6324.5,11138.25,11496.75,13996.75,5838,14031.25,12344,10113,6942.25,14473.5,7046.5,7659.5,7187.5
"PHC3",7400,27800,8140,12804.75,2177.5,3146.25,954.75,7284.25,4994,8587.33333333333,2460.5,5271.25,4665.75,904.333333333333,16586.75,4754.33333333333,17138.25,8198.33333333333,13944.75,19796.25,10958,17108.75,6661.25,14578.75,7267,19919.75,12998.25,20307.75,7138.75,10974.25,5887.25,20438,10227.75,20283.25,6028.25,24935,8236.75,17944,8402,23542.25,11042,13936.75,20589.75
"PHEX",233.5,0,3413.5,0,200.25,158,0,4997.5,913.5,5495,0,0,660,0,656.25,887.333333333333,305.5,0,265,0,0,0,1316.25,19315.5,0,507.25,2837.25,1010.5,5874,0,0,520,211,230.5,0,1386.75,1309.25,1170.5,3543.5,674.5,241.75,1201,1004.25
"PHF1",4918.5,60977,5252.25,65473.75,1862.75,27921.75,13295.5,1923.5,2442,1026.66666666667,3474.5,2728.75,5031.75,2316,50734.25,1305.33333333333,35322.5,5330.66666666667,27389.75,23751.5,2832.66666666667,47359.25,5837.75,1879,8980.5,78656.5,1256.5,71461.5,35028,23080.5,4505.5,72114.75,4082,65985.25,2816.25,57355.75,3224,56969,2515.5,72799,49278.75,54261.5,47794.25
"PHF10",11392.75,6990.25,16686.5,9434.5,4163.25,9131.5,7213.5,15446.25,12011.25,5271,7971.5,8271,6777,7685.66666666667,9490.5,10226.6666666667,9399.25,9938,6445,45878,13046,11855,13636.75,16697.75,12004,7050.25,10921,5620.25,9351,4301.25,7324.25,11505.25,11435,7188.75,10544,8039.75,9588,9440.75,11247.25,6144.5,8144.25,7123.75,9775.25
"PHF11",9981.75,16926.75,13351.25,14530.75,1764,4792.75,4560.5,27131.5,12010,8496,13672.75,18380.75,6353,2899.33333333333,22501.25,0,13064.5,4559,14602.5,109032.5,0,13469.75,43564.5,11371.75,5482.25,16416,16003,22737.75,5199.5,11134.25,595,19384.25,1053,17108.5,1360.75,27859,4646.75,28087,9492.75,17724.5,26044.25,24280.5,26630.75
