"","B_CELL_NAIVE","CD4_NAIVE","CD4_STIM","CD8_NAIVE","CD8_STIM","M2","MONOCYTES","NK","TFH","TH1","TH17","TH2","THSTAR","TREG_MEM","TREG_NAIVE"
"KLF4",176.164072107165,4.64379369187625,0.267977415047744,4.00076523199057,0.302153038986461,755.257950152314,1089.33581216542,5.80206175742627,10.2210770436716,7.49247246000065,10.1518988884921,9.1133547280576,7.57111672528644,5.73039477974914,3.39158230796429
"NELL2",0.0720045292142349,195.637547547875,122.042400528549,488.077787202856,362.966436482235,0.168063742037658,0.152691007943532,1.48390044238115,86.6870163014885,130.993473517419,82.2615837359644,75.5118245463981,131.134876671747,4.19024352918217,7.62492592026365
"CD200",169.178258133339,9.7053653957166,1423.46778877446,2.58442450199304,331.680481676804,0.05145547748116,0.104553623681846,0.182422421880322,6.20456264170346,4.45706323271124,3.65306253104655,5.99307744482356,0.583234747417611,7.74553252995077,8.12931657570096
"CAMK4",0.787197228930309,314.740159953369,182.426918531305,244.463497954981,139.681126089778,0.254995155469063,0.210008633822642,0.941858785579494,178.903391378067,161.602107591321,193.146931693788,225.389594252808,217.047549441288,149.13340604642,305.388743416144
"PLEK",203.528131254615,6.38977631977252,11.3468716756961,11.0206509519157,14.242810418312,1300.2614045027,1268.30618501665,1184.18595434355,23.7840767604436,97.5703703961602,7.70320886744041,11.6315823505211,55.7419392784487,15.395431030932,6.7004646464545
"IRAK3",70.6171972935377,1.47018042865674,0.753473031733433,1.11096453153766,0.511507933547413,726.031140835819,441.823315539377,4.31244418984144,1.47657804424532,0.299147734745625,1.382109537605,3.60793029444115,0.145099430479562,14.6856365530982,2.24428101834581
"MS4A7",24.8609789373547,0.633052663958396,0.328092423554455,0.504944916795768,0.259698423157377,1133.76446270047,115.140974834988,2.39709994809397,0.546206939798557,0.024524692587275,0.017768843584174,0.0262123549238221,0.016808580080199,0.554460603411451,0.663455756017187
"BCL11B",0.160000671936578,515.759267210816,125.915385413976,428.364773660952,114.429303708898,0.529555668692946,0.293773866866429,82.0073445149333,370.185003446029,268.57997239001,309.557863237567,341.13277055449,282.613102715221,267.983537138702,433.699361998471
"TRAT1",0.0370998245659953,283.488156910058,253.534395837206,77.5638354300577,135.012595974708,0.230066220294988,0.125675346843094,1.55563750527132,222.635652790337,160.800084730238,201.16840671675,253.441300655404,206.278396163154,90.2209634029923,225.833292280875
"HCK",13.2700255892572,1.00520214167047,0.274357265313614,0.950398228785995,0.233806777239177,715.776894479162,334.360611992019,2.30996252171762,1.53915014206567,0.0467976191244577,0.0545251722475058,0.0848057599785298,0.0382473781275394,1.59997057613679,1.15303449160151
"LRRC25",2.74505300119444,0.724790778077854,0.127633779268243,0.775562780904471,0.119718083533627,987.580897687,266.503083698217,6.3616993408442,1.5953786764034,0.0325931554495962,0.0478452344367212,0.077096537562,0.0188095786027692,1.62896521435136,1.01281027019786
"GZMA",0.0865580757758302,10.165920650257,1.17546606059149,24.4203821801701,2.19935906194372,4.84277707550766,0.727525157030385,2247.35534181819,31.9859573053295,403.264451546135,30.2600457141712,39.6703120336193,310.355476478994,61.7602609030058,10.5350057076259
"MAFB",0.201584555894236,1.16737126658963,0.477501831318816,1.21878336501722,0.411213950269715,655.938643841857,450.069246577283,2.47118897049942,1.54547411679063,0.475800327397867,0.207481101889034,0.276576758236781,0.213904121375424,2.15537695940577,1.39714700726258
"SLAMF1",182.372179595883,113.938879777722,1437.46919178817,26.3328365032512,862.992131630461,0.513643818821436,1.46225231859809,1.70390224415974,222.613658250471,308.723006047875,275.036108273125,187.976763266721,368.225147712279,292.79834927151,104.285089965761
"EGR3",10.5567556139579,4.61683765758803,1173.03943941652,6.04993377501413,981.395578323422,8.86600499434505,7.48560041073358,0.720792857308486,1.47985060292538,3.96454881753271,1.9521230640718,4.16225728586426,2.82992203634423,1.63928134311005,2.2001347407465
"CX3CR1",0.484405365426604,1.46733369782946,0.582973411852319,1.78979339772628,1.28751196661341,574.92789449139,78.9082853392792,655.188847426543,1.90845465995712,24.3313480203124,1.11130232401212,1.69607373016537,1.76710260067375,4.64099535120079,1.58987173011429
