"","Adipose","Adrenal Gland","Artery","Bladder","Brain","Breast","Cervix","Colon","EBV-transformed lymphocytes","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Minor Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Skin","Small Intestine","Spleen","Stomach","Testis","Thyroid","Transformed fibroblasts","Uterus","Vagina","Whole Blood"
"AQP5",0.318532047392099,0.7324,0.514686817382738,0.4495,2.67762697318295,2.3495,1.53247968402513,0.227499480651621,0.068865,1.48391028405088,1.867,1.14204117607482,1.735,0.09399,9.011,208.1,0.06579,0.5904,0.2354,0.79355,1.6,1.6865,121.278370941062,0.1555,0.17195,9.0565,528.1,3.1695,0.09032,0.634,0.5706,0.05413
"ARRB2",51.3874770341157,39.585,31.0982554539526,28.25,41.5941955087191,32.335,25.8844192795753,30.524970261683,37.99,21.8683922762191,35.78,11.2601672093002,16.63,16.16,138.1,21.56,6.572,51.335,26.24,8.592,33.15,25.22,17.2151585225054,52,215.5,31.055,11.8,23.885,10.2,33.54,25.07,749.3
"RPL15",356.151718461496,229.75,454.063487585034,438.2,218.639280505061,415.4,626.497426289543,316.549547315061,652.05,329.258686706657,456.7,98.6245250929709,162.6,95.27,308.7,309.8,146.85,389.4,888.4,217.4,346.8,340.35,404.139531519698,242.3,300.5,257.05,208.7,371.95,543.6,583,441.2,107.8
"REG3G",0.0830512453249845,23.625,0.0642422519703914,0.3028,0.00483128701046454,0.0817399999999999,0.369193620347393,0.0910257349622876,0.0740050000000001,0.0812160525532035,0.3768,0,1.047,0.0855399999999999,0,0.0839700000000001,0,0.11575,0.2289,781.45,0.1146,0.11095,0.0349251180641041,9.362,0.1456,0.14625,58.21,0.07504,0,0.1105,0.1071,0
"RHOG",70.2577718568297,38.38,75.7552278728884,62.83,21.8886079653833,58.56,76.7129075508052,55.4694660856644,220.4,64.8064759788425,68.07,19.4228695339318,28.77,17.83,119.6,44.67,29.73,82.735,55.94,14.965,32.58,51.705,57.5192857099264,68.56,214.15,37.625,24.69,45.325,80.23,73.83,67.76,822.5
"SLURP1",0.285835736009853,0.3376,0.35764814486927,0.6976,0.132954412348295,0.37415,0.593684833961847,0.256010541357038,0.26495,11.5862831339119,0.4252,0.161052539724194,0.1307,0.1579,0.2962,0.5242,0.19015,0.32475,0.3543,0.17425,0.2687,0.39655,725.192020060811,0.2742,0.27075,0.28305,0.2245,0.25825,0.2441,0.3056,107.5,0.1996
"RPS29",423.799894067784,301.25,384.324559598232,398.8,148.577234485496,487.15,529.947483278714,381.687953821387,1131.5,367.814429852475,496.8,149.261771585457,219.4,169.4,415.2,392.9,259.5,406.9,921.4,277.45,278.8,364.3,656.147586163108,411.8,644.7,319.9,249.2,393.9,703.8,442.8,500.1,117.7
"CLDN1",11.8724851912908,72.775,1.81696028615549,32.7,1.37437820201964,5.8135,2.65780159385388,0.8029722987334,0.1837,6.3227051868781,158.2,0.522581160398355,8.595,93.07,9.507,49.59,0.32085,150.5,7.34,20.59,4.521,17.065,474.505520472686,0.9855,1.0145,0.7992,5.357,9.7285,1.076,99.3,65.25,0.1249
"PPL",51.3190338213541,7.69,15.5539987356063,57.57,2.76729719080311,75.795,62.7457041689869,13.6181052123728,0.34335,113.304813685911,29.67,3.47159758922916,6.838,9.288,41.09,120.7,7.85,53.17,12.56,7.064,28.83,32.455,311.552971510431,20.21,0.5507,12.6,4.711,51.765,34.41,15.64,444.7,0.5166
"LENG8",233.555430548943,163.3,319.922529610754,341.3,122.566000529104,285.7,421.261163262737,279.798860396548,178.1,237.44491370467,454.1,83.4437386666412,153.1,64.49,353.7,264.2,55.83,517.6,544.8,197.5,433.3,391.3,224.285929431911,313,375.55,210.9,287.7,503.15,221.5,478.7,330.1,101
