"","A-431","A549","AF22","AN3-CA","ASC diff","ASC TERT1","BEWO","BJ","BJ hTERT+","BJ hTERT+ SV40 Large T+","BJ hTERT+ SV40 Large T+ RasG12V","CACO-2","CAPAN-2","Daudi","EFO-21","fHDF/TERT166","HaCaT","HAP1","HBEC3-KT","HBF TERT88","HDLM-2","HEK 293","HEL","HeLa","Hep G2","HHSteC","HL-60","HMC-1","HSkMC","hTCEpi","hTEC/SVTERT24-B","hTERT-HME1","HUVEC TERT2","K-562","Karpas-707","LHCN-M2","MCF7","MOLT-4","NB-4","NTERA-2","PC-3","REH","RH-30","RPMI-8226","RPTEC TERT1","RT4","SCLC-21H","SH-SY5Y","SiHa","SK-BR-3","SK-MEL-30","T-47d","THP-1","TIME","U-138 MG","U-2 OS","U-2197","U-251 MG","U-266/70","U-266/84","U-698","U-87 MG","U-937","WM-115"
"PLAC8",158.5,1.1,0.5,1.1,0,0.2,27.7,3.9,0.9,10.3,13.2,2.9,447.2,21.9,1.4,40.5,16.4,3.3,1,39.9,0.2,0.5,0.7,23.6,10.4,1.5,259.1,1.6,0.7,2.6,1.8,1.8,0.6,0.3,1.9,24.4,0.6,50,101,1,0.9,7.3,10.2,161.8,0.6,4.3,30.2,0.5,1.3,21.9,0.5,1.5,125.9,1.1,0.9,33.7,0.8,0.7,1.4,0.3,55.2,2.3,115.9,0.2
"DDX5",401.6,152.7,497.3,296.3,311.1,297.1,306.8,379.4,460.6,494.5,514.8,152.3,240.7,478.5,238.2,454.3,235.6,562,366,576.1,220.4,359.9,390.7,86.4,97.7,278.9,444.4,393.9,350.1,311.1,486.9,289.1,481.7,313.6,396.2,345.9,207.6,969.8,102.5,299.7,478.2,663.7,512.4,327.1,247.1,183,414.9,622.6,456.4,309,422.7,362.9,208.7,332.8,316,382.1,325.5,386,235.2,473.7,831.2,331.7,211.8,382.4
"SKP1",572.7,454.9,722.6,917.4,759.7,628.8,502.3,630.5,764,797.2,857,641.5,546.3,344.7,1028.2,784.9,316.1,761.2,808.2,958.3,411.4,479.3,341.5,525.2,378.7,437.4,234.8,398.4,562.4,642.5,752.6,454.1,776,417.6,296.8,1082.4,395.9,513.5,199.5,425.2,494.8,318.5,756.5,411.3,725.9,577.9,702,495.4,1072.9,191.3,534.8,695.5,306.9,574.9,541.7,356.2,539.6,634.4,194.7,318.8,491.4,747.9,436.4,601.6
"FAU",861.8,576.9,543.4,812.2,361.3,546.4,725.6,463.9,430.4,699.9,460.8,599.9,846.5,834.1,1370.4,368.8,750.1,530.8,524.7,301.2,797.5,725.3,845,445.6,683.1,809.4,895.6,874.6,705,861.4,648.1,671.2,491.6,797.9,962.8,336.5,941.9,1051.4,1431,1516.6,970.7,1146.5,425.1,1590.9,526.1,438.4,897.3,809.7,453.2,911.9,1347.1,1023.3,1037.1,458.7,665.8,813.3,980.2,736.4,1100.5,1030.5,1359.1,800.6,677.5,772.5
"IRF8",0.9,0,0,0,0,0,15,0,0,0,0,22.1,0,177,1.5,0,0.1,1.3,0,0.2,0.2,2.3,0.1,0,0,1.2,0.3,0,0,0,0,0,0,0.2,0.4,0,0,0.5,12.4,0.2,0,7.4,1.1,21.3,0,0,0.1,0.1,1.1,0,0.2,0,280.9,0.5,0,11.4,0.2,0.8,0.2,0.2,672.1,0,108.3,0
"CDH11",0.1,0,51.1,0.1,24.8,55,0.2,205.7,114,57.1,34,3.8,0.2,0,0,259.6,0.1,0.1,1.2,42.2,0,1.9,0,0.9,0,25.2,0,12.7,159.5,0.1,75.3,11.5,14.6,0,0,27.7,0.2,0.1,0.2,19,262.9,0.8,36.1,0,0,0,1,37.9,0.1,0.2,0.2,0.3,0,0,123.8,18,178.5,58,0,0,0,21.3,0,0.4
"G0S2",0,3.9,0,0,321.2,11.5,0.3,0.6,1.2,1.8,1.8,16.2,13.2,0,3.9,2.7,0,0,528.5,4.4,0.6,1.1,0,1,0.4,32,0.1,0,35.3,1.1,32.9,0,0,0.1,0,0.2,0,0.2,10.1,1.3,170.1,0,0,166.8,1.3,0.2,1,1.5,17.6,0,3.2,0.2,38.7,60.8,0,5.2,0.2,0.1,0,0.7,0.1,13,0.1,0
"ATP5G3",230.5,209.3,337.3,351.9,196.1,176.7,369.5,202,203,307.6,278.9,575.5,189.4,467.5,259.2,208.3,300.5,447.6,296,335.8,256.8,366.5,472.4,225.3,604.3,184.6,546.1,268.6,198.9,225.3,374.3,181.6,281,516.7,218.7,305.3,276.5,428.6,365.3,450,663,376.7,305.2,447.1,488.3,470,359.1,205.7,204.1,386.4,409,292.6,372.9,184.8,54.2,273.7,1.6,275.5,182.1,226.3,387.5,307.6,319.9,246.6
"NTN4",23.2,64.8,2,0.1,19.2,31.1,2.9,42,407.7,61.3,76.4,46.7,43.2,0,3.3,81.5,36.7,0.8,10.6,32.3,0,4,2.1,8.8,7.5,1.3,0,0.1,0.8,30.7,76.3,156.2,109.7,0,0,20.9,15.1,0.1,0.2,1.1,175.9,0.2,0.5,0.1,48.7,106.9,0.4,0.8,64.1,56.9,1,20.8,0.1,235.1,25.1,10.2,93.8,4.2,0,0,0,5.7,0,5.5
"PAPSS2",16.8,17.6,6.1,0.3,88.3,114.1,0.3,156.5,127.9,102.6,77.2,0.8,3.4,0,9,365.8,7.3,14.2,9.4,121.1,0.2,9.1,7.8,9.3,0.1,163.2,0.2,3.3,42.4,0.2,63.6,4,77.7,0,62,65.3,55.2,0.1,0.4,7.2,22.2,0.3,0.1,0.3,87.1,6.7,1,1.7,95.6,2.4,0.8,12.3,3.5,95.7,36.8,22.8,118.3,11.1,0.2,0.6,0.1,17.4,0.1,0.2
