gene,1,2,3,4,5,6,7,8
AFF1,12482,11932,11650,15074,14265,12237,12697,13053
AFF2,166,155,168,155,137,175,360,411
AFF3,657,820,427,721,331,612,493,836
AFF4,12133,12292,9252,13301,10930,11794,12789,12596
AFG3L1P,3122,2743,2560,3138,3031,2746,2894,3416
AFG3L2,4811,4454,4344,5668,4088,4203,3618,4571
AFM,0,0,0,0,0,0,0,0
AFMID,121,196,153,175,119,134,93,157
AFP,0,0,0,0,0,0,0,0
AFTPH,6251,6955,5874,7569,7083,7415,6361,7508
AGA,1219,1374,1266,1902,1649,1730,1467,1630
AGAP1,1166,1057,835,641,630,735,299,213
AGAP11,38,24,20,49,20,34,22,36
AGAP2,8034,6331,6742,6959,7147,6168,5723,7216
AGAP3,3434,2425,2957,2926,3757,2965,2540,3515
AGAP4,4484,4258,3197,4553,3945,4273,4697,4460
AGAP5,164,186,145,214,205,240,197,157
AGAP6,928,907,667,964,876,945,823,932
AGAP7,439,444,152,195,168,218,226,204
AGAP8,759,669,564,697,628,697,725,647
AGAP9,2637,2547,2046,2650,2167,2349,1380,1166
AGBL1,0,0,0,0,0,0,0,0
AGBL2,459,495,512,679,512,564,531,598
AGBL3,47,127,55,69,78,112,112,91
AGBL4,11,10,0,0,0,0,6,0
AGBL5,1769,1675,1512,1961,1619,1408,1691,2013
AGER,3813,3607,3333,4023,3640,3278,3499,4811
AGFG1,4952,6526,4601,6956,5613,8229,6666,6782
AGFG2,3272,2743,3296,3442,3160,3165,3030,3609
AGGF1,2754,3765,2831,3872,3186,3618,3992,3365
AGK,2711,2864,1928,2845,2049,2879,2407,2496
AGL,3162,3417,2405,2979,3087,3210,3311,3452
AGMAT,1545,1959,1336,2199,1144,1834,1474,2437
AGMO,0,0,0,0,0,0,0,0
AGO1,5188,4635,4780,5430,5043,4623,4779,5926
AGO2,3615,3074,3072,4166,3470,3179,3082,3952
AGO3,1320,1030,1149,1627,1227,1093,1912,2206
AGO4,6499,5992,5024,6717,6567,6321,5882,5516
AGPAT1,5147,3804,4658,5329,4576,4140,3568,4799
AGPAT2,897,790,843,913,982,764,582,880
AGPAT3,11066,10529,9511,10876,9998,10000,8672,11261
AGPAT4,1886,1955,1511,1972,1443,1800,1431,2089
